8.981543390756077e-21,3.911639767353134e-17,7.338594327092015e-13,1.1918764114331237e-8,0.000014754264631129062,0.002831443084241804,0.09944676802791394,0.6814902862049357,0.9370609425673673,0.26096045244576643,0.014644297133543774,0.000161875540442728,3.335203998692738e-7,1.1105190292006874e-10,3.423104464537141e-15,2.4751755757114118e-20,3.86252683047977e-24,2.09796262073112e-29,1.501210354054168e-35,1.632939176571392e-42,2.3310026478946264e-50,1.1746690956755224e-59,1.13991539094893e-67,2.6796994718149385e-76,5.433831900905616e-86,1.5917186702743898e-96,6.963109461827383e-108,3.335939390916524e-120,4.224716913190405e-135,1.502438777856631e-145,1.0328422731030873e-158,8.333371527081932e-173,1.0183899153901718e-187,1.782284613636089e-203,2.4182585258875834e-220,1.9422591877602376e-237,1.0228397849595481e-253,2.592312664248612e-271,8.955211946729222e-290,4.77048934934323e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4524400771778634e-25,1.1477644640082302e-20,4.5097079590485656e-17,9.499169632003951e-13,1.427680288725743e-8,0.00001688902724405045,0.003115748118826991,0.10546807408640299,0.6976526958717157,0.9270003219763646,0.24968067371164232,0.013559176693748202,0.0001450770139722798,2.8916934827245016e-7,9.286473215307408e-11,2.7073028165509675e-15,2.2114790259016627e-20,3.1027432305713516e-24,1.6233074376408944e-29,1.1259908123795771e-35,1.1883171435915449e-42,1.638580863890672e-50,7.4801344804894e-60,8.155025127349527e-68,1.829463021646899e-76,3.60651995380633e-86,1.030462892639169e-96,4.395427746718963e-108,2.0357987709704885e-120,4.094963406401472e-135,9.329207965540491e-146,6.229601136590122e-159,4.922835839004674e-173,5.902595551536833e-188,1.0119626432664329e-203,1.3215395754355564e-220,1.1572984288232346e-237,5.767529762227129e-254,1.4347145788405832e-271,4.886236004459153e-290,2.56820751279678e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4228996462872653e-31,1.9402491422338482e-25,1.4572107555908476e-20,5.1573877116202773e-17,1.21928122367811e-12,1.7014700609246673e-8,0.00001925714702732479,0.0034184052587837377,0.11161826470460008,0.713293044017961,0.9166439949513148,0.23897990226986177,0.01256961565810651,0.00013028676974051175,2.514393716648523e-7,7.794776252196918e-11,2.1505411647938247e-15,1.9709161738192234e-20,2.5047284928646602e-24,1.2638504901414936e-29,8.506361213601704e-36,8.717894639086546e-43,1.1622911704768108e-50,4.7985739123404253e-60,5.882733347828238e-68,1.2621344222673883e-76,2.4214973217899444e-86,6.754940811370321e-97,2.8120770844627977e-108,1.2603811153380356e-120,3.6657408115028284e-135,5.87722258085767e-146,3.817461156277809e-159,2.957534626786358e-173,3.4825307980984e-188,5.854506271831209e-204,7.366064253623964e-221,7.008524271491206e-238,3.3179611909548134e-254,8.110357161644411e-272,2.725723243863275e-290,1.41484445499603e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2963892645149889e-37,4.750487330029949e-31,2.572994048084124e-25,1.838188202163848e-20,5.850319411811472e-17,1.5523585968690887e-12,2.0176413014529564e-8,0.000021872845089296285,0.0037395145993534785,0.11788438010766003,0.7283968868778035,0.9060500127943343,0.22883671186101048,0.01166691686426342,0.00011724869161593095,2.1927431105265885e-7,6.567636853435848e-11,1.71588402373099e-15,1.7536037475691163e-20,2.0321114281024356e-24,9.901602598697034e-30,6.472765112492833e-36,6.448065866643607e-43,8.319735045248088e-51,3.10108451225725e-60,4.279519829884628e-68,8.799456071194583e-77,1.644800430955878e-86,4.4838722021969114e-97,1.823483558186141e-108,7.916759256892515e-121,3.125028592739727e-135,3.756727339529189e-146,2.3768219880737285e-159,1.8070982935703844e-173,2.0916419747517614e-188,3.451229873663101e-204,4.1879939369352636e-221,4.3149680152567446e-238,1.947480908111645e-254,4.6830324708742166e-272,1.5545803902158865e-290,7.97653640819317e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.591786188218889e-45,1.8684784915089094e-37,6.539235197678278e-31,3.387420023803299e-25,2.3040156326051763e-20,6.582186807678063e-17,1.9609337339771468e-12,2.3807922412581036e-8,0.000024749688362188898,0.0040790646555735,0.12425283098936707,0.7429529078021004,0.8952733686373384,0.21922950412493475,0.010843179307324617,0.0001057408483744263,1.9179505926643978e-7,5.555093212677338e-11,1.3752852879408886e-15,1.5587846894182547e-20,1.6570541545032254e-24,7.806429423212213e-30,4.961279631937561e-36,4.808471456429459e-43,6.010029847305345e-51,2.018843403416436e-60,3.1399989221081175e-68,6.200079199255316e-77,1.1303043834201883e-86,3.0140201408311993e-97,1.198518847664232e-108,5.045443200559939e-121,2.5824456437302126e-135,2.436613548320204e-146,1.5036443072697612e-159,1.1230216813380934e-173,1.2789013122694184e-188,2.0731664859074504e-204,2.429010145037189e-221,2.7015402344274387e-238,1.1663149361699016e-254,2.762121742972295e-272,9.065327394386064e-291,4.60216466971554e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.655307544265666e-54,9.930508108064718e-45,2.668511798530639e-37,8.928675294919672e-31,4.427664789480471e-25,2.8697108800208235e-20,7.344621111658249e-17,2.4582109059568434e-12,2.795680035755937e-8,0.000027900356990644704,0.004436926413583874,0.1307094784851421,0.756952798600301,0.8843659429541174,0.21013668197723756,0.01009122944069624,0.00009557080780803832,1.682687521524433e-7,4.7170873784626044e-11,1.1073840918164164e-15,1.3851618389981834e-20,1.3581797929193769e-24,6.1938137569732934e-30,3.830677401013039e-36,3.615471231351014e-43,4.381682841694138e-51,1.323938461245577e-60,2.3239949904140047e-68,4.415216011851586e-77,7.858675999123215e-87,2.0517218942665055e-97,7.985011163964565e-109,3.262758961356172e-121,2.0919639041214496e-135,1.6037286448145344e-146,9.665806162459878e-160,7.098479039410891e-174,7.9608656114303e-189,1.26908124771932e-204,1.4372854855381123e-221,1.7203999904070624e-238,7.127193155436556e-255,1.6641865922975184e-272,5.405138951760009e-291,2.71748147030734e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.977046703059139e-61,1.5137538197005801e-53,1.480395885732389e-44,3.776650887473951e-37,1.2093283758191673e-30,5.746212770885731e-25,3.5520345068195863e-20,8.127178088141104e-17,3.0588243795683394e-12,3.267167276914747e-8,0.000031336402425158565,0.004812848294555765,0.13723971553659223,0.7703911224182443,0.8733764829910626,0.20153679918981024,0.009404557543335176,0.00008657160199197685,1.4808347787385173e-7,4.021424795587252e-11,8.958613630362811e-16,1.2311371283995116e-20,1.1190180499163616e-24,4.9458795175429294e-30,2.9795800492887844e-36,2.741088525173903e-43,3.2242338663766597e-51,8.745758162560227e-61,1.7352466907883757e-68,3.1779076894621577e-77,5.528321467978329e-87,1.4144507857066602e-97,5.3927776036041655e-109,2.1410731531423825e-121,1.6737410494823093e-135,1.0711956237211871e-146,6.313830873011592e-160,4.563825544774942e-174,5.04513527222578e-189,7.916939131509774e-205,8.67730706360922e-222,1.1146090970366958e-238,4.444262647978532e-255,1.0242812779575313e-272,3.295314617361559e-291,1.64225864155414e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.231965115571332e-69,1.0321417377148722e-60,2.5857923964092185e-53,2.1840513833545926e-44,5.296985964202232e-37,1.6248895650883664e-30,7.404833060205989e-25,4.3694940384166004e-20,8.917400931361999e-17,3.778811143179709e-12,3.800158737740899e-8,0.00003506799947473949,0.00520645213007395,0.1438285492338208,0.7832651622644049,0.8623506122180208,0.19340868810960793,0.008777258936675135,0.0000785982537585148,1.3072749768057404e-7,3.4421678080377e-11,7.282111465658028e-16,1.0949785738460908e-20,9.268360959887839e-25,3.97492432135964e-30,2.334807799860808e-36,2.095563935524177e-43,2.3947325965055188e-51,5.8194272011677606e-61,1.307234438380621e-68,2.3119886105642905e-77,3.934999350726248e-87,9.875775201355402e-98,3.692103892228287e-109,1.4258226500025824e-121,1.3296382744153552e-135,7.26148516206258e-147,4.191084342372173e-160,2.984657496236696e-174,3.2552901319641075e-189,5.0333240033762775e-205,5.3455564906571994e-222,7.348064369477389e-239,2.827984008305665e-255,6.4403324859763476e-273,2.0543127394722012e-291,1.01578160611423e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.398541012710849e-78,9.753715472534394e-69,1.5102148849305996e-60,4.322617093845927e-53,3.189078872354073e-44,7.363120361843354e-37,2.1659602732886115e-30,9.475457670144193e-25,5.342300275059175e-20,9.700980077321234e-17,4.635539551761242e-12,4.3995284316933586e-8,0.00003910369613862217,0.005617230192348804,0.15046068257947276,0.7955747556473558,0.8513308661529729,0.1857315674107947,0.00820397983237758,0.00007152478590399247,1.1577215065329301e-7,2.958368471729902e-11,5.948196656041136e-16,9.749333401974632e-21,7.7175681539571425e-25,3.2153905265438175e-30,1.8432413955574626e-36,1.6155385146177452e-43,1.795376353946822e-51,3.900367645239869e-61,9.936989800691732e-69,1.7002190878570684e-77,2.8341343110874752e-87,6.983690261389386e-98,2.5625788880159463e-109,9.636363954676996e-122,1.0528620762884951e-135,4.996026032933013e-147,2.8271865438088045e-160,1.985529165854733e-174,2.1385798218695126e-189,3.2613591749229505e-205,3.360506184911153e-222,4.930088295880625e-239,1.8363983855125763e-255,4.13697001656941e-273,1.3095687327724685e-291,6.4306615762804e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.086228017942384e-88,8.759936922835316e-78,1.5091591874211259e-68,2.1857684368945067e-60,7.082643109598797e-53,4.609165833541911e-44,1.014453539517433e-36,2.8644957531288878e-30,1.2040947690973711e-24,6.492267710305746e-20,1.0462016078024994e-16,5.647587767070707e-12,5.070037483309553e-8,0.00004345016523766944,0.006044543368934243,0.15712059561511563,0.8073221218378004,0.840356750887116,0.17848513195239488,0.0076798675673036354,0.0000652416452644396,1.0285777408850587e-7,2.5530668598175113e-11,4.882731463943823e-16,8.693011852447618e-21,6.46091916391914e-25,2.618044673650177e-30,1.4661084828850864e-36,1.256002568659235e-43,1.3587655372575399e-51,2.6330809535341424e-61,7.622640896439703e-69,1.2639147577174824e-77,2.06555552609808e-87,5.002014976408834e-98,1.8031814008283703e-109,6.60998197742519e-122,8.33429665909075e-136,3.488904608695566e-147,1.938172716037189e-160,1.3436566751600847e-174,1.4305203044590616e-189,2.1537950273132413e-205,2.156045611057619e-222,3.36693700052817e-239,1.216985492632379e-255,2.7149013426328715e-273,8.536776646386334e-292,4.1669624188277e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4339718935329708e-98,1.1878422284955384e-87,1.4040168841382915e-77,2.3085912520398045e-68,3.129465606432589e-60,1.1389229077146289e-52,6.594316543052095e-44,1.3853674072662884e-36,3.758723307769881e-30,1.5195686565674715e-24,7.84265154618133e-20,1.1183388340918736e-16,6.834566667687493e-12,5.816243513181035e-8,0.00004811196168245296,0.006487620468796624,0.16379262424413785,0.8185116793725121,0.829464820879494,0.17164962654547472,0.007200524972089881,0.00005965348449632846,9.168209368120485e-8,2.2124977333269548e-11,4.0283620491067245e-16,7.764794237794991e-21,5.438361003657022e-25,2.145740081685814e-30,1.1749517341311579e-36,9.847777645554092e-44,1.0381165373049231e-51,1.7903970243092492e-61,5.901235231777012e-69,9.498226639657738e-78,1.5233850292880043e-87,3.6288288723377704e-98,1.2864021523463259e-109,4.6020565845166946e-122,6.610036863204475e-136,2.4730908387209327e-147,1.3503772043538279e-160,9.25004832029209e-175,9.743359302188286e-190,1.4497306255917782e-205,1.4118549928624504e-222,2.340856318911881e-239,8.230902027308758e-256,1.8202676996918312e-273,5.690817453665787e-292,2.763780983132e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.205332336948242e-110,2.4852543723347722e-98,1.9649854187580824e-87,2.22287647211822e-77,3.491665888279836e-68,4.432735781982465e-60,1.7992955536068596e-52,9.339893061946188e-44,1.8753613015810727e-36,4.893840637572178e-30,1.904593233295387e-24,9.41791487012444e-20,1.1847224787334412e-16,8.216883255698703e-12,6.642402582807559e-8,0.00005309129039041939,0.006945558754714194,0.17046103694315023,0.8291498613731327,0.8186887730265984,0.16520590512313807,0.0067619685723656975,0.000054677250788416345,8.199063894527827e-8,1.9254608372264895e-11,3.340576725916984e-16,6.949878369205554e-21,4.602822766225674e-25,1.7703190110795217e-30,9.487692500911303e-37,7.787131955370342e-44,8.007219172656293e-52,1.2261888804231747e-61,4.611078082378801e-69,7.215999712883659e-78,1.1369828649053215e-87,2.6666383431967656e-98,9.304755725342465e-110,3.252317115307219e-122,5.261951793656208e-136,1.7794995423061717e-147,9.562167151812834e-161,6.478226178863175e-175,6.757441218559867e-190,9.946310837711238e-206,9.437093253815421e-223,1.6570261008217463e-239,5.681554293430538e-256,1.2469163444339551e-273,3.8795481407470216e-292,1.8763707902425e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4229328159562554e-124,5.810297277181965e-110,4.2463472247778846e-98,3.2080540872669357e-87,3.476596293175026e-77,5.221773904925596e-68,6.212187459262559e-60,2.7951434434933154e-52,1.3096992209311296e-43,2.5166106970440248e-36,6.322644857875681e-30,2.370985530811997e-24,1.1243421044245427e-19,1.243546402975845e-16,9.815441439587197e-12,7.552365085511204e-8,0.00005838778872396867,0.007417325639802621,0.17711010837435348,0.8392449263826567,0.8080595537576778,0.1591354774353685,0.00636059044350273,0.00005024053913353444,7.356881898914318e-8,1.682820112174508e-11,2.7847193244915684e-16,6.234797589398012e-21,3.917279911713487e-25,1.4703383574389489e-30,7.719761125769856e-37,6.21047672891023e-44,6.235513536905811e-52,8.458421515997494e-62,3.636780900860224e-69,5.542380838075068e-78,8.587841755079773e-88,1.9849608231184684e-98,6.8240025842501e-110,2.333174031962645e-122,4.210325283359998e-136,1.2998154518829784e-147,6.881918283833721e-161,4.615691846697647e-175,4.772290201181639e-190,6.955725489722225e-206,6.4393057865305545e-223,1.1943980055883412e-239,4.002745166561861e-256,8.727119193623748e-274,2.7047270271251376e-292,1.303992159281e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
