Parameters
Crystal: LiNB-MgO
PM Type: Type 0:   e -> e + e
Crystal Length (m): 0.02
Crystal Theta (rad): 1.5707963267948966
Crystal Phi (rad): 0
Crystal Temperature (C): 47
Poling Period (m): 0.000019320844100367245
Pump Wavelength (m): 7.7506e-7
Signal Wavelength (m): 0.00000155015
Idler Wavelength (m): 0.0000015500900011611553
Pump Bandwidth FWHM (m): 
Signal Angle Internal (rad): 0
Idler Angle Internal (rad): 0
Signal Angle External (rad): 0
Idler Angle External (rad): 0
Pump Waist Radius(1/e^2) (m): 0.00009999999999999999
Signal Waist Radius(1/e^2) (m): 0.00009999999999999999
Idler Waist Radius(1/e^2) (m): 0.00009999999999999999
Signal/Idler Focus Position inside crystal (m): 0.015319945543305949


x: Wavelength of Signal (nm)
1540,1540.2020202020203,1540.4040404040404,1540.6060606060607,1540.8080808080808,1541.010101010101,1541.2121212121212,1541.4141414141413,1541.6161616161617,1541.8181818181818,1542.020202020202,1542.2222222222222,1542.4242424242423,1542.6262626262628,1542.8282828282827,1543.030303030303,1543.2323232323233,1543.4343434343436,1543.6363636363635,1543.8383838383838,1544.0404040404042,1544.242424242424,1544.4444444444443,1544.646464646465,1544.848484848485,1545.050505050505,1545.2525252525252,1545.4545454545455,1545.6565656565656,1545.858585858586,1546.0606060606062,1546.2626262626263,1546.4646464646464,1546.6666666666665,1546.8686868686868,1547.0707070707072,1547.2727272727273,1547.4747474747476,1547.6767676767677,1547.878787878788,1548.080808080808,1548.2828282828282,1548.4848484848485,1548.6868686868688,1548.8888888888887,1549.090909090909,1549.2929292929293,1549.4949494949497,1549.6969696969695,1549.8989898989898,1550.1010101010102,1550.3030303030305,1550.5050505050506,1550.7070707070707,1550.909090909091,1551.1111111111113,1551.3131313131312,1551.5151515151515,1551.7171717171718,1551.919191919192,1552.121212121212,1552.3232323232323,1552.5252525252527,1552.7272727272727,1552.9292929292928,1553.1313131313132,1553.3333333333335,1553.5353535353534,1553.7373737373737,1553.9393939393938,1554.141414141414,1554.3434343434344,1554.5454545454545,1554.7474747474748,1554.9494949494951,1555.1515151515152,1555.3535353535353,1555.5555555555557,1555.7575757575758,1555.959595959596,1556.1616161616162,1556.3636363636365,1556.5656565656568,1556.7676767676767,1556.969696969697,1557.171717171717,1557.3737373737374,1557.5757575757577,1557.7777777777778,1557.9797979797981,1558.1818181818182,1558.3838383838383,1558.5858585858587,1558.7878787878788,1558.989898989899,1559.1919191919192,1559.3939393939395,1559.5959595959596,1559.7979797979797,1560
y: Wavelength of Idler (nm)
1560,1559.7979797979797,1559.5959595959596,1559.3939393939395,1559.1919191919192,1558.989898989899,1558.7878787878788,1558.5858585858587,1558.3838383838383,1558.1818181818182,1557.9797979797981,1557.7777777777778,1557.5757575757577,1557.3737373737374,1557.171717171717,1556.969696969697,1556.7676767676767,1556.5656565656568,1556.3636363636365,1556.1616161616162,1555.959595959596,1555.7575757575758,1555.5555555555557,1555.3535353535353,1555.151515151515,1554.9494949494951,1554.7474747474748,1554.5454545454545,1554.3434343434344,1554.141414141414,1553.939393939394,1553.7373737373737,1553.5353535353534,1553.3333333333335,1553.1313131313132,1552.9292929292928,1552.7272727272727,1552.5252525252527,1552.3232323232323,1552.121212121212,1551.919191919192,1551.7171717171718,1551.5151515151515,1551.3131313131312,1551.1111111111113,1550.909090909091,1550.7070707070707,1550.5050505050506,1550.3030303030305,1550.1010101010102,1549.8989898989898,1549.6969696969695,1549.4949494949497,1549.2929292929293,1549.090909090909,1548.8888888888887,1548.6868686868688,1548.4848484848485,1548.2828282828282,1548.080808080808,1547.878787878788,1547.6767676767677,1547.4747474747473,1547.2727272727275,1547.0707070707072,1546.8686868686868,1546.6666666666665,1546.4646464646464,1546.2626262626263,1546.060606060606,1545.8585858585861,1545.6565656565658,1545.4545454545453,1545.2525252525252,1545.050505050505,1544.8484848484848,1544.6464646464647,1544.4444444444443,1544.2424242424242,1544.040404040404,1543.8383838383838,1543.6363636363637,1543.4343434343436,1543.2323232323233,1543.030303030303,1542.828282828283,1542.6262626262626,1542.4242424242425,1542.2222222222224,1542.0202020202023,1541.818181818182,1541.6161616161614,1541.4141414141413,1541.212121212121,1541.010101010101,1540.8080808080808,1540.6060606060607,1540.4040404040404,1540.2020202020203,1540
Data
0.06665328554124764,0.5747745127983616,0.9876111147834878,0.3419201635608921,0.023768875401830886,0.0003250639609546624,8.315806331801175e-7,3.502096627090227e-10,1.5261127169061527e-14,4.278323406868597e-20,1.587202671689146e-23,1.1100269447939784e-28,9.773240856055805e-35,1.299466216800621e-41,2.327370902846484e-49,2.0596141417227576e-58,1.0025310925273705e-66,3.2858482861328584e-75,8.07781002881793e-85,2.8028451338373063e-95,1.4547681511933094e-106,8.704794777007634e-119,4.971357796491554e-134,3.5353668229407356e-144,2.985000504756306e-157,2.7868240452000576e-171,3.89290483200579e-186,7.863176138864594e-202,1.3680935652896727e-218,5.968321543400756e-236,4.831501618415863e-252,1.4039189008328561e-269,5.3893125132878106e-288,3.1728417372586794e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0016747976588504148,0.07167360822397424,0.5935818751166849,0.9806978586906159,0.3267548056380698,0.021873185750567205,0.000288114093350083,7.09454157377296e-7,2.867002165037713e-10,1.1777475848358866e-14,4.0048678156399284e-20,1.2399548592887751e-23,8.285284286674983e-29,7.029432141454954e-35,9.018057554719206e-42,1.5517459847210988e-49,1.2542073065399327e-58,6.849062821455928e-67,2.109449017476142e-75,5.0078540784336017e-85,1.6852535807779853e-95,8.481693244745648e-107,4.8795743090828587e-119,8.898765046774217e-135,2.0162794470493934e-144,1.6386718670587777e-157,1.4893202388970434e-171,2.0298475412840407e-186,3.993881544851962e-202,6.65265661303945e-219,3.2548408209694852e-236,2.4186427851477717e-252,6.848930861663841e-270,2.5771231682061516e-288,1.4887056394641731e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000008253386593026186,0.0018722363000151843,0.07688332192939082,0.6120231070472759,0.9730846687324235,0.3122801846251247,0.020146471176998096,0.0002558017452151811,6.068073428546402e-7,2.3550404545422296e-10,9.124509021350873e-15,3.6985913657090144e-20,9.729713485098592e-24,6.220429542412312e-29,5.090690822234889e-35,6.307190752984092e-42,1.0436021726138818e-49,7.6948548952590384e-59,4.7127905425424536e-67,1.3679586158862478e-75,3.139709052263825e-85,1.0257138356073493e-95,5.010318810394779e-107,2.773833125019938e-119,3.0347186616754493e-136,1.1660681316755197e-144,9.136826015742274e-158,8.0922307504468e-172,1.0771079934456404e-186,2.0663422368992797e-202,3.2978735080926923e-219,1.7989832454448112e-236,1.2348424298503065e-252,3.4118333413442638e-270,1.2596245992492106e-288,7.146187936894506e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.721240327928613e-9,0.000009602621032627509,0.0020861134598947314,0.08227471132642562,0.6300639039059982,0.964844415255627,0.29848113063928616,0.018573518682239627,0.00022751531978684188,5.203663994226733e-7,1.9411835785366864e-10,7.097273015064035e-15,3.3801916630010095e-20,7.669297443388643e-24,4.6978560052920606e-29,3.7122141152652427e-35,4.445892237945541e-42,7.080058010739933e-50,4.756372742045141e-59,3.266919431118163e-67,8.961664834297606e-76,1.990814442121495e-85,6.31982162554753e-96,2.998927154994542e-107,1.5991294911901732e-119,7.17132176452553e-136,6.839057008483651e-145,5.174619623994545e-158,4.470656361631116e-172,5.816773915479603e-187,1.0890354256942625e-202,1.6667409378220297e-219,1.0083850757563512e-236,6.430269192993438e-253,1.7356311846339144e-270,6.293180049462034e-289,3.5096544407561527e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.265166615393237e-13,8.178545690176945e-9,0.000011125963711047317,0.002316972500482436,0.0878390397331147,0.6476732523468365,0.9560481641443109,0.2853406524587661,0.017140434547484353,0.00020272636077601,4.474293681359017e-7,1.6056826036988743e-10,5.5428296461205535e-15,3.064261126935209e-20,6.073113465971045e-24,3.5692087234675324e-29,2.7259225180520877e-35,3.158685557990281e-42,4.845670872517063e-50,2.962040807717293e-59,2.281933820919993e-67,5.931228573560438e-76,1.2767300184395822e-85,3.942061069634445e-96,1.818894096372275e-107,9.350212852716431e-120,2.549330632435039e-135,4.0682491400452676e-145,2.976901108284863e-158,2.511411091030031e-172,3.197073055187631e-187,5.847048373363887e-203,8.588817600515587e-220,5.735487430099303e-237,3.415474114803021e-253,9.016777649254461e-271,3.2139607427870643e-289,1.7635881857265953e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.365739982543023e-17,5.620146139224984e-13,9.898998738882886e-9,0.00001283820437182503,0.0025652852674888605,0.09356659922661723,0.664823483073655,0.9467648395782226,0.27284029325459963,0.01583454422246631,0.00018097809257921368,3.8576331208452444e-7,1.3329202184228582e-10,4.346734578109306e-15,2.7605612917526526e-20,4.8317537095425484e-24,2.7281166049693793e-29,2.0157745675828923e-35,2.2620504842617196e-42,3.345904931362893e-50,1.858403344324579e-59,1.6064066709715132e-67,3.966142304476489e-76,8.281650239180942e-86,2.489450403600952e-96,1.1179245342737115e-107,5.545277735988099e-120,3.789519158644354e-135,2.454684887594688e-145,1.7397053813388605e-158,1.434590089582647e-172,1.7885049039219184e-187,3.198217450281218e-203,4.5130076842874384e-220,3.3118399139308255e-237,1.850556720696942e-253,4.783971226777076e-271,1.6779155275162479e-289,9.067569624219487e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
