1560,1559.7979797979797,1559.5959595959596,1559.3939393939395,1559.1919191919192,1558.989898989899,1558.7878787878788,1558.5858585858587,1558.3838383838383,1558.1818181818182,1557.9797979797981,1557.7777777777778,1557.5757575757577,1557.3737373737374,1557.171717171717,1556.969696969697,1556.7676767676767,1556.5656565656568,1556.3636363636365,1556.1616161616162,1555.959595959596,1555.7575757575758,1555.5555555555557,1555.3535353535353,1555.151515151515,1554.9494949494951,1554.7474747474748,1554.5454545454545,1554.3434343434344,1554.141414141414,1553.939393939394,1553.7373737373737,1553.5353535353534,1553.3333333333335,1553.1313131313132,1552.9292929292928,1552.7272727272727,1552.5252525252527,1552.3232323232323,1552.121212121212,1551.919191919192,1551.7171717171718,1551.5151515151515,1551.3131313131312,1551.1111111111113,1550.909090909091,1550.7070707070707,1550.5050505050506,1550.3030303030305,1550.1010101010102,1549.8989898989898,1549.6969696969695,1549.4949494949497,1549.2929292929293,1549.090909090909,1548.8888888888887,1548.6868686868688,1548.4848484848485,1548.2828282828282,1548.080808080808,1547.878787878788,1547.6767676767677,1547.4747474747473,1547.2727272727275,1547.0707070707072,1546.8686868686868,1546.6666666666665,1546.4646464646464,1546.2626262626263,1546.060606060606,1545.8585858585861,1545.6565656565658,1545.4545454545453,1545.2525252525252,1545.050505050505,1544.8484848484848,1544.6464646464647,1544.4444444444443,1544.2424242424242,1544.040404040404,1543.8383838383838,1543.6363636363637,1543.4343434343436,1543.2323232323233,1543.030303030303,1542.828282828283,1542.6262626262626,1542.4242424242425,1542.2222222222224,1542.0202020202023,1541.818181818182,1541.6161616161614,1541.4141414141413,1541.212121212121,1541.010101010101,1540.8080808080808,1540.6060606060607,1540.4040404040404,1540.2020202020203,1540
0.00019019750524465253,0.00041978493719267945,0.0028333746508053727,0.005868622650113866,0.007090375083635668,0.005271726202493139,0.0018035075640401932,0.0000015082229710324556,0.0024837202446327763,0.008573778634872402,0.0141067505677679,0.014410114811103613,0.008572866706487487,0.0014821247743985618,0.0011506088943516995,0.012323826040135225,0.030905534765378183,0.04444794786819247,0.04054280942072633,0.019127329610942993,0.0004169787218504291,0.0209700607470346,0.1167756927763173,0.3008086867077449,0.5477249818477805,0.7962869111592779,0.9711019609492662,1.0142716876389672,0.9111842546949493,0.6970580199401382,0.44085959034312605,0.2151326785475435,0.06721207387445961,0.005480213537367417,0.005268040271746006,0.028359317420274727,0.04396277952464519,0.040372218694446876,0.023575871711619952,0.006933845456346833,0.000052267381509442506,0.003486576219733433,0.010829332851335399,0.014851914372536587,0.012644336567880794,0.006564944574308703,0.0013310363980657545,0.00011507647414682374,0.002577592865901377,0.005816099066390933,0.0069689618505568,0.005289008432856879,0.0022937313205103347,0.0002358810890868528,0.00030688168268711154,0.0019321508138056666,0.003489312192363033,0.003683917118125701,0.002460026043710925,0.0008460320515032825,0.000017045660251493978,0.00039144786354445286,0.0014290327974253794,0.0021763549301058354,0.0020419033239697086,0.0011881366955421727,0.0003020485320688848,0.000004408451585644166,0.00039129060514094677,0.001033338738928556,0.0013701600579525798,0.001149688999271036,0.0005764423903215774,0.00009652416192873926,0.000029540974642423685,0.0003443792406494676,0.0007282923253154054,0.0008587630050547453,0.0006472970539381517,0.00027565864651514835,0.00002431922641023581,0.000048874115779565006,0.0002790023232244228,0.0005000045714225115,0.0005322647964297789,0.0003614772335663751,0.00012832486791182962,0.0000033313656852958584,0.00005529632049266144,0.0002126178149191024,0.00033457748074954485,0.00032524593776514,0.00019944379875238367,0.00005761535392658987,3.761041383460079e-9,0.000051904147913036064,0.00015429657794374812,0.00021846646313906083,0.00019575109800650203,0.00010858735275975229
0.0017452950440293737,0.00017691825117219264,0.00044133385768609,0.002879416954632477,0.0059049922386708534,0.007086169477662364,0.0052281651411739604,0.0017588947627418508,0.0000035415208206969184,0.002547924401669946,0.008662654718594856,0.014152544893203386,0.014370177242410674,0.008475579561004212,0.0014204073249247302,0.0012156908286599102,0.012521743552559516,0.03112442352658152,0.044520011740068956,0.040379963987906484,0.018846175973358924,0.0003550045392554066,0.021549666371229566,0.11826799844886306,0.30312512337603587,0.5503679362753848,0.7985114467480247,0.9722223564486823,1.0139602380073605,0.9096088935114209,0.6947914941485865,0.43861494536043744,0.21346632274066538,0.06633954108776124,0.00527528350687215,0.005412610754402063,0.028540438916453473,0.04400955175694361,0.04028010391053154,0.023438111710851136,0.006844786003174551,0.00004524944595826441,0.0035314096115458353,0.010871807549731731,0.014857205892309721,0.012614755172619924,0.006527508143080989,0.0013116058395228145,0.00012035510652506903,0.0025953310100908207,0.005828622216861628,0.006967104857569,0.005276488892858896,0.0022812240593030114,0.00023156811588250477,0.00031112936521686776,0.0019391481150186636,0.003492789994301073,0.0036817990967993666,0.002454880517668634,0.0008420232432047627,0.000016485118317372676,0.00039358323966657123,0.0014314025731365049,0.00217704584039113,0.002040793268859061,0.0011864632413278618,0.0003010859768329885,0.000004509815752874141,0.00039192645173658376,0.0010338064054602695,0.001370192355207646,0.001149493400135891,0.0005763163939786398,0.00009652416192873907,0.000029507806502125456,0.00034420853216027595,0.0007281101665831688,0.0008588105828462086,0.0006476535591988421,0.00027610353502512325,0.000024495598831188116,0.00004861453115184991,0.00027851069339160985,0.0004997104397766937,0.0005324632902890902,0.0003620666941147281,0.00012887583022646494,0.000003435728602641872,0.00005490442714557306,0.00021208089454673377,0.00033436122341004814,0.00032555397747031635,0.00020005939623051277,0.00005808415385539263,7.730314943378841e-10,0.00005148537693907151,0.00015383975176039627,0.0002183611973623533,0.00019609445271692575
0.0034392114488062445,0.0017162097495545588,0.00016442936239758943,0.0004627875649665713,0.0029243056302526325,0.005939932971754135,0.0070814441542079365,0.0051855413633340305,0.0017159361259791155,0.0000063342058418804795,0.00261083118133302,0.008748663479491844,0.014195977075249956,0.014330480974381265,0.008381254410688228,0.00136179131189637,0.001280316720743312,0.012713950805576805,0.0313349554860162,0.044587129034889546,0.0402206723155581,0.018575608586420624,0.0002998842683318007,0.0221154770769283,0.11971143018464882,0.30535554375187557,0.5529032302685181,0.8006362243546237,0.973282970996549,1.0136494964819456,0.9080943057186768,0.6926247554547966,0.43647717537305825,0.2118850753179711,0.06551554800569911,0.005084575676561929,0.005551110607116569,0.028711484957734217,0.04405266785629948,0.040192404853854335,0.023308257181702666,0.006761450867064534,0.00003912302561689838,0.003573596164607764,0.010911399501584092,0.01486190951889928,0.012587082599503743,0.006492777738585365,0.0012937370576780879,0.00012532837723509808,0.0026116673539536405,0.0058400512980737035,0.006965348817119178,0.005265083014531004,0.002269925479896515,0.00022772040238511687,0.0003149515102773881,0.0019453664877804797,0.003495843201693196,0.0036799321256511027,0.0024504180457342226,0.0008385929961616206,0.000016018189218577728,0.0003953659950008944,0.0014333401667249305,0.0021775955925319597,0.002039928052177932,0.0011852081262694457,0.0003003992743562027,0.000004578024637875434,0.00039230809438282486,0.0010340401495433171,0.001370203068794216,0.0011494934001358896,0.0005764423903215777,0.00009664936599785778,0.000029408406763990546,0.0003438671479127578,0.0007278063259448717,0.0008588814733418,0.0006481523672164319,0.0002766970523215952,0.0000247232950231986,0.0000482908953351328,0.00027790973434410377,0.0004993563007891478,0.000532696410491735,0.0003627539113453132,0.00012951265515839003,0.000003556984483251477,0.000054461577737906715,0.0002114763006664942,0.00033411740733714176,0.00032589421095358253,0.00020073954508891242,0.00005860169895394581,7.96834420360941e-11,0.000051029777913051916,0.00015334206726214588,0.00021824450740784315
0.00381593357006126,0.003421459481833102,0.001687961461769555,0.00015269944141406666,0.00048410157758277443,0.002968021467653504,0.005973472417203428,0.007076255658127251,0.005143892639867522,0.001674611111900917,0.00000981360131385793,0.0026723709859405014,0.008831802361465052,0.014237127820128556,0.014291132780892609,0.00828992758338094,0.0013061840289052954,0.0013443072443501353,0.012900316371298827,0.03153718146234389,0.044649546498572015,0.04006520943142058,0.018315644985744423,0.00025114356698252495,0.022666524299439647,0.12110482537445966,0.3074990915865293,0.5553307710955476,0.8026620859236523,0.974285353003936,1.0133411829201913,0.9066417904992973,0.690558304604888,0.43444596447338624,0.21038810852746398,0.06473919187946234,0.004907461442252347,0.005683311542253878,0.028872535088672165,0.04409231557548975,0.04010924598207362,0.023186306197073403,0.006683753172917365,0.00003379965384142099,0.0036131039704983665,0.01094813606258425,0.014866073930432672,0.012561347688827038,0.006460746902143586,0.0012774019741393261,0.00012997187836221488,0.002626597251904993,0.005850399306020392,0.006963710282832766,0.005254797944916838,0.0022598304277524927,0.00022432723387641834,0.0003183408700335923,0.0019508063885366215,0.0034984775859338226,0.0036783216975076584,0.0024466399453423188,0.000835738606974818,0.0000156411841201684,0.00039679433704214133,0.0014348463617082858,0.002178006169861956,0.002039309054698537,0.0011843713724232112,0.00029998758756922845,0.000004612318895135496,0.00039243533100380066,0.0010340401495433152,0.0013701923552076468,0.001149688999271036,0.0005768204074092545,0.0000969000075005356,0.000029243091712744672,0.0003433551551834303,0.00072738044121798,0.0008589751051835107,0.0006487931769052175,0.0002774394806436262,0.00002500301307250299,0.000047903774014522816,0.0002771994032899945,0.0004989415131181323,0.0005329634239263598,0.0003635386542973861,0.000130235808152897,0.000003695927356725852,0.000053968265662379006,0.00021080384515234489,0.00033384532949795283,0.0003262659897282096,0.00020148415906688684,0.00005916851366080185,2.3877942951561013e-9,0.00005053768835484666,0.00015280325441880243
0.002662711070651046,0.0038229757266162387,0.003403902612148277,0.0016605535963813865,0.00014169733031264376,0.0005052328668949505,0.0030105467663335585,0.00600563830625318,0.007070658952290291,0.0051032546283886464,0.0016348984436768356,0.000013908715112478497,0.0027324772776744005,0.00891207063962698,0.014276076449164574,0.01425223539286798,0.008201631935693537,0.001253493572381655,0.0014074889198538924,0.013080715835852085,0.03173115440425793,0.04470750412686986,0.039913838032323075,0.018066295114877853,0.00020831753661512334,0.023201871740948305,0.12244706972885329,0.3095549543045502,0.5576504835058728,0.8045898495860333,0.9752309888710142,1.0130369372752472,0.9052525783599048,0.6885926059846064,0.4325210032023131,0.20897463228319685,0.06400961786337761,0.004743349712877333,0.005809001989587141,0.029023666802051484,0.04412867203826688,0.04003074323857658,0.02307225579266057,0.006611610999543873,0.000029196902338784075,0.0036499038650010043,0.01098204308518685,0.014869744324139926,0.012537576910918433,0.006431409450206054,0.0012625746738722779,0.0001342633356862865,0.0026401165951683366,0.005859678133936298,0.006962204212279412,0.005245640028790757,0.0022509342478040186,0.00022137908242694833,0.00032129108047854453,0.0019554682519828106,0.0035006981628757376,0.0036769725122035267,0.00244354730615753,0.0008334578196118069,0.000015351085481247822,0.0003978668386953584,0.001435921773397187,0.002178279061430408,0.002038937262506761,0.0011839529919309333,0.00029985041447903155,0.00000461231889513556,0.0003923080943828253,0.0010338064054602695,0.0013701600579525807,0.0011500800060876611,0.0005774505349623168,0.00009727655324765084,0.0000290123889566388,0.00034267265551310753,0.0007268320055639912,0.0008590907153625206,0.0006495755998807762,0.000278331172260172,0.00002533560624103207,0.00004745384790584622,0.00027637965293374087,0.0004984653292480133,0.000533263481758556,0.0003644206552271614,0.00013104581335686373,0.000003853450890751849,0.00005342504660005789,0.00021006332373323306,0.00033354421524196777,0.00032666859716897335,0.0002022931372699857,0.00005978516718141546,8.467011320326874e-9,0.00005000947914715919
0.000980042342940243,0.002686680068875319,0.0038294757462794737,0.0033865698851576484,0.001633988641101738,0.00013139217683166734,0.0005261398769438026,0.0030518652806332254,0.006036458439650318,0.007064707388882117,0.00506366091335289,0.001596776239404673,0.000018550319220300662,0.0027910865234405196,0.008989469293510709,0.014312900773223015,0.014213887488902274,0.00811639712123325,0.001203629111991569,0.0014696941527075663,0.013255031652881527,0.03191692886359955,0.044761234904615504,0.03976680861621621,0.017827562011270403,0.00017095184590257482,0.023720616198815353,0.12373709696859303,0.31152236294859886,0.559862308433571,0.8064203091309401,0.9761213023865536,1.012738319926541,0.903927831036508,0.6867280910082967,0.43070198923286507,0.20764389462447294,0.06332601848432746,0.004591686201482536,0.0059279863812405935,0.02916495515896428,0.044161903712536345,0.039957004247343886,0.022966102078878052,0.0065449475370541604,0.000025238322894046243,0.0036839693099290343,0.011013144854702929,0.014872962410447417,0.012515794373363219,0.006404759476950282,0.0012492314375328643,0.00013818258214636463,0.002652221797029678,0.005867898546156475,0.006960843967293368,0.00523761486650761,0.002243232783041931,0.00021886760327478958,0.00032379664532857313,0.001959352475291646,0.0035025091841971974,0.0036758884829631994,0.0024411410158574104,0.0008317488216617839,0.000015145547565847517,0.00039858243071954664,0.0014365668425841767,0.002178415257563364,0.0020388132661101556,0.001183952991930933,0.0002999875875692284,0.0000045780246378754165,0.00039192645173658397,0.001033338738928556,0.0013701057095597009,0.0011506660372401572,0.0005783329170860881,0.00009777970303376688,0.000028717037366961216,0.0003418197865062137,0.0007261603684794423,0.0008592273508538213,0.0006504991582211416,0.00027937254616983414,0.000025722082281423888,0.00004694191470737817,0.00027545043302892056,0.0004979268978703607,0.000533595620755182,0.00036539960721244583,0.0001319432530778844,0.000004030548336121215,0.00005283253982324061,0.0002092545179668582,0.00033321321766684387,0.0003271012479006618,0.00020316636389813419,0.000060452271107864494,1.9150132130627325e-8
0.00003522261571981919,0.0010014411885213824,0.00270984203648549,0.0038354617522997534,0.0033694891364536507,0.0016082682296377534,0.0001217534952335124,0.0005467825114075621,0.0030919621372521265,0.006065960591402584,0.007058452684314105,0.005025143105775335,0.0015602221311162836,0.000023671020691387085,0.0028481381484752955,0.0090640008446458,0.014347676936821615,0.014176183744696327,0.008034249706491189,0.0011565011645096007,0.0015307613637463662,0.013423152943906778,0.03209456064456163,0.04481096445825217,0.039624359593705305,0.017599442675472754,0.00013860374415566938,0.0242218884533889,0.12497388901396611,0.31340059084333505,0.5619662016721467,0.8081542308176779,0.976957653328339,1.0124468114826661,0.9026686437907898,0.6849651591428291,0.4289886297620332,0.20639518208721572,0.06268763387365195,0.004451952771391932,0.006040084469753499,0.029296472391633653,0.044192166387263365,0.03988812847634119,0.02286784053407423,0.006483691105873304,0.000021853382273810204,0.0037152762658564467,0.011041463990069793,0.0148757664130389,0.012496021892104397,0.006380791428324419,0.001237350755204699,0.00014171153894218755,0.002662909739585703,0.005875070164569436,0.006959641324852822,0.005230727292790846,0.0022367223995252285,0.0002167856415983965,0.0003258529387106802,0.00196245941085513,0.0035039141355615324,0.0036750727307996887,0.0024394217572809643,0.000830610248138677,0.000015022894744617377,0.00039894040372425474,0.001436781835368931,0.002178415257563364,0.0020389372625067587,0.0011843713724232114,0.00030039927435620265,0.000004509815752874105,0.0003912906051409461,0.001032636795788809,0.0013700285301239499,0.001151446514853713,0.0005794677567656841,0.00009841038849470597,0.000028357988846093224,0.0003407967220878422,0.0007253647384869783,0.0008593838653547165,0.000651563282652393,0.00028056408653993057,0.000026163603042421703,0.00004636888990688864,0.00027441169267845904,0.0004973252645376599,0.0005339587612645929,0.00036647516308402887,0.00013292876386048012,0.000004228312571709935,0.00005219142967611507,0.00020837719706285452,0.0003328514194801725,0.00032756308645178264,0.0002041037056697668,0.0000611704791308882
0.0003525788772279106,0.000039699006586126664,0.0010223679956349679,0.0027322030463183275,0.003840961314371996,0.0033526870192079,0.0015833931987847814,0.00011275123135805526,0.0005671221303234007,0.003130823756553507,0.006094172432485513,0.007051944893762877,0.0049877309015811154,0.0015252134009745174,0.000029205327240243433,0.0029035744405765023,0.009135669156580354,0.01438047929240505,0.01413921483519036,0.007955213452202533,0.0011120217973457675,0.001590535041256235,0.013584975220189753,0.032264106374050854,0.04485691082600453,0.039486717564801904,0.0173819286288194,0.00011084311660701461,0.024704854050545615,0.12615647557738474,0.3151889532179917,0.5639621313699721,0.8097923530871725,0.977741337282938,1.0121638132358104,0.9014760452556564,0.6833041782734259,0.42738064112650054,0.2052278206760146,0.06209375110184746,0.00432366676052535,0.006145130695104119,0.029418287499110823,0.044219605134302266,0.039824207534275693,0.022777466145480332,0.006427775271500819,0.00001897740971607092,0.0037438030794551794,0.011067021390073343,0.01487819107551177,0.012478279056631361,0.006359500165572823,0.0012269133457892879,0.000144834191676862,0.0026721777609127503,0.005881201449274841,0.006958606479692637,0.005224981430547138,0.0022313999935113607,0.00021512723329858216,0.00032745618071594693,0.0019647893497625585,0.0035049157313880794,0.0036745275976565427,0.0024383900074043735,0.0008300411889495431,0.000014982121991972066,0.0003989404037242561,0.0014365668425841767,0.002178279061430407,0.0020393090546985395,0.0011852081262694453,0.00030108597683298796,0.0000044084515856441154,0.00039040089112880107,0.0010317000464275998,0.0013699274288778694,0.001152420668174104,0.0005808553095797491,0.00009916977378629108,0.000027936409193486344,0.0003396036776733983,0.0007244441819900791,0.0008595589227812943,0.0006527673113889917,0.0002819063407692718,0.000026661484280382727,0.000045735808381178764,0.00027326338325580707,0.0004966593719104302,0.0005343517065136839,0.00036764693137094956,0.0001340030373523733,0.0000044479361847223634,0.00005150246786778453,0.00020743111948647743,0.00033245783229722314,0.0003280531866826442,0.00020510500998503577
0.0014181033949963759,0.00034094322570054405,0.000044299493749663785,0.0010428058834169177,0.0027537695747321764,0.003846001413842922,0.0033361890180060617,0.0015593636671606607,0.00010435581521498085,0.0005871215487693722,0.0031684377772158855,0.006121121427101989,0.007045232392376764,0.0049514521714976835,0.0014917270934274452,0.00003508970800114174,0.002957340512767479,0.009204479326457762,0.014411380280535274,0.014103067495972756,0.007879309489487825,0.0010701049044778575,0.0016488657929483487,0.013740400148954501,0.03242562310110125,0.04489928413685172,0.0393540973769713,0.017175006802535666,0.00008725341178728911,0.02516871382084745,0.1272839345387892,0.316886805697144,0.5658500764060976,0.8113353836630995,0.9784735839037058,1.0118906472184843,0.900351000557527,0.6817454880548246,0.4258777525232829,0.20414117620623512,0.0615437044106183,0.004206380426925095,0.006242973428393583,0.029530465948697036,0.044244354308818755,0.039765325236223385,0.022694973686569277,0.006377138907761095,0.000016551543732077125,0.0037695303853683255,0.011089836163021137,0.014880267654988238,0.01246258325681866,0.00634088101252789,0.0012179021627755544,0.0001475365690754745,0.002680023597209419,0.005886299673167821,0.006957748051026242,0.005220380685360924,0.0022272630104649247,0.0002138876043755168,0.00032860344248362386,0.0019663425117964635,0.003505515910555328,0.0036742546408620063,0.00243804605933411,0.0008300411889495435,0.000015022894744617447,0.00039858243071954827,0.0014359217733971852,0.002178006169861958,0.0020399280521779303,0.0011864632413278603,0.00030204853206888463,0.000004275071985663087,0.00038925778158389597,0.0010305277852777697,0.0013698010002673516,0.0011535875292283597,0.0005824958859693167,0.00010005925295162614,0.00002745367888786604,0.00033824090995935604,0.0007233976280094101,0.0008597509917522969,0.0006541104864651526,0.00028339991813387436,0.000027217195393124525,0.00004504382646440738,0.00027200545964038524,0.0004959280626732379,0.0005347731425072745,0.0003689144769417974,0.00013516681686282308,0.000004690711602323736,0.000050766474382287624,0.00020641603460650563,0.0003320313983290715,0.0003285705501885488
0.0022219609591749155,0.0014031668639691883,0.0003298065168543353,0.00004900073699706171,0.0010627388784302313,0.002774548439534732,0.0038506084141324655,0.003320019475413419,0.0015361790918071389,0.00009653821956257566,0.0006067450227300248,0.003204792998101501,0.006146834776487093,0.0070383618682688075,0.004916333033668022,0.0014597401292815112,0.000041262648599775246,0.003009384225297182,0.009270437494267099,0.014440450301516111,0.014067824523964802,0.007806556483684212,0.0010306663783986535,0.0017056103950603128,0.013889335464669524,0.03257916796642129,0.04493828644500748,0.03922670239257775,0.0169786600137589,0.00006743257726858686,0.025612704824011914,0.12835539205751945,0.3184935429647404,0.5676300264533981,0.8127839994876936,0.9791555564897533,1.0116285565202978,0.8992944100319431,0.6802894003863441,0.4244797043597809,0.2031346547105275,0.06103687471830823,0.004099680430707242,0.00633347462910201,0.029633069324547838,0.04426653753274362,0.03971155783784733,0.022620357717489426,0.00633172624890164,0.000014522684504709662,0.0037924410158580433,0.011109925559613088,0.014882023931840554,0.012448949751648687,0.006324929776235159,0.0012103024083722994,0.00014980672639288193,0.002686445387766789,0.005890370919611186,0.006957073084119473,0.005216927766739444,0.0022243094558675397,0.00021306317490510886,0.0003292926336548197,0.001967119053895556,0.00350571584193404,0.0036742546408620037,0.0024383900074043717,0.0008306102481386783,0.000015145547565847739,0.0003978668386953592,0.0014348463617082836,0.0021775955925319597,0.0020407932688590613,0.00118813669554217,0.00030328811055913663,0.0000041111976956930164,0.0003878618927253637,0.0010291191363771737,0.0013696475321979173,0.0011549459322729556,0.0005843898433971778,0.00010108045074512708,0.00002691139598195622,0.0003367087206100748,0.0007222238672965555,0.0008599583494183235,0.0006555919523502449,0.0002850454858248998,0.00002783235874887294,0.00004429422385693206,0.0002706378833518525,0.0004951300795388218,0.0005352216357438084,0.00037027731581309206,0.00013642089631740105,0.000004958030889479793,0.00004998433957447901,0.00020533168624755466,0.00033157099104587855
0.0021055514420558466,0.0022167877654302253,0.0013886377436085995,0.00031915751236443303,0.00005378006509148541,0.0010821518776955256,0.0027945467590583875,0.0038548080273235292,0.003304201615503581,0.0015138383364201313,0.00008927000386698458,0.0006259582427687001,0.0032398792896713422,0.006171339318258976,0.007031378296589794,0.00488239791674425,0.0014292294107936545,0.00004766470456032915,0.003059656133059587,0.009333550721436188,0.014467757621472666,0.014033564852410108,0.007736970859629315,0.0009936243627444857,0.0017606318831012075,0.014031694621915775,0.032724797780881755,0.044974111438053854,0.03910472462705392,0.01679286776108095,0.00005099392671546842,0.02603610075770614,0.1293700212884065,0.32000859939528326,0.5693019790224632,0.8141388442736535,0.9797883512510814,1.011378705221157,0.8983071111913001,0.678936199937251,0.42318625135384264,0.20220770311372208,0.06057268965729884,0.004003187149440018,0.006416509168044076,0.02972615503674816,0.044286267672540194,0.03966297415578911,0.022553612951291668,0.006291486971718598,0.000012843443874799227,0.003812519918732885,0.011127304923353582,0.014883484202724446,0.012437391664922016,0.006311642809191094,0.001204101548353347,0.000151634735234345,0.0026914416320182547,0.005893420071866328,0.006956587055297615,0.005214624702413929,0.0022225378972693913,0.0002126515572421988,0.0003295225028175678,0.0019671190538955606,0.003505515910555329,0.003674527597656546,0.002439421757280964,0.0008317488216617821,0.000015351085481247602,0.000396794337042139,0.00143334016672493,0.0021770458403911324,0.002041903323969712,0.0011902284559410024,0.0003048062146704809,0.000003918732009930627,0.0003862139783401396,0.0010274730541818841,0.0013694649955217227,0.0011564945093092108,0.0005865375871829868,0.00010223521970113073,0.00002631137626746334,0.0003350074607172854,0.0007209215575001409,0.0008601790786679304,0.0006572107519611041,0.0002868437669892634,0.000028508748890471973,0.00004348840540187338,0.0002691606268709065,0.0004942640674312725,0.0005356956333299947,0.0003717349141655334,0.0001377661170203089,0.00000525138590689616,0.00004915702687520281,0.0002041778139880446
0.00122046873368755,0.002113463707989012,0.0022116045539108597,0.0013745232099133435,0.000308984953842895,0.00005861548717895557,0.0011010306338460779,0.00281377188660713,0.003858625288376722,0.0032887575671843522,0.0014923397292501588,0.00008252336801721175,0.0006447283218311013,0.0032736875351169004,0.006194661467949351,0.007024324938190771,0.004849669647517118,0.0014001719358553888,0.000054238546071330574,0.003108109401712001,0.009393826840194405,0.014493368257443691,0.014000363545133405,0.007670566994633751,0.0009588994139144162,0.0018137995186430305,0.014167396658028283,0.03286256879035414,0.045006944266341,0.038988344909117276,0.016617606831121956,0.000037566968112367595,0.026438212641901927,0.13032704449468244,0.3214314462938711,0.5708659379144303,0.815400527776725,0.9803729971163692,1.0111421788286379,0.8973898803815374,0.6776861463912434,0.4219971617375176,0.20135980956671848,0.06015062337885693,0.00391655443856918,0.006491964407048726,0.029809776122850774,0.044303646864777856,0.03961963571682423,0.022494734241912947,0.006256376193314214,0.000011472109906571946,0.0038297540987045483,0.011141987638719653,0.01488466929468424,0.012427920060095951,0.006301017006056082,0.0011992893207940808,0.0001530126667616018,0.0026950111857878814,0.005895450802518374,0.0069562938746363205,0.0052134728328739974,0.00222194747236625,0.00021265155724219776,0.000329292633654819,0.001966342511796463,0.003504915731388076,0.003675072730799686,0.002441141015857413,0.0008334578196118067,0.00001564118412016828,0.000395365995000894,0.0014314025731365057,0.002176354930105834,0.002043256436003046,0.0011927384750878857,0.0003066046748580397,0.0000036999614394595697,0.00038431494091513164,0.0010255883247929493,0.0013692510519732757,0.001158231688236066,0.0005889395649268086,0.00010352563964333378,0.00002565565679795861,0.0003331375344164266,0.0007194892234651019,0.0008604110678088327,0.0006589658237942026,0.00028879553603585855,0.00002924829215034381,0.00004262790407917792,0.0002675736751828726,0.0004933285750626473,0.0005361934611087242,0.0003732866836934177,0.00013920336613226019,0.000005572368112561277,0.000048285574475681194
0.00029922811892426054,0.0012341238641590136,0.0021209874665016966,0.00220642827369339,0.0013608298629156806,0.0002992776036491865,0.00006348570471297354,0.00111936170667548,0.0028322313728608964,0.0038620845303173794,0.0032737083913640364,0.0014716811238694792,0.0000762711961496284,0.0006630237824223349,0.0033062095560886613,0.006216827151356646,0.007017243329960272,0.0048181695167394695,0.0013725448924579275,0.0000609289997210709,0.003154699756578388,0.0094512743212826,0.014517345893573723,0.013968291892552363,0.007607357319363434,0.0009264147201970054,0.001864988890290642,0.01429636599308418,0.03299253625435768,0.045036961331238586,0.03887773316251547,0.016452851747925396,0.000026798205220050856,0.026818389429153187,0.1312257309775613,0.32276159290467943,0.5723219133798646,0.8165696243830507,0.9809104540871281,1.0109199843251966,0.8965434324343668,0.6765394752933578,0.4209122203074376,0.2005905032802201,0.05977019615063898,0.003839468925361272,0.00655973969143439,0.029883980910781534,0.044318766486732886,0.039581596914833046,0.022443716792125975,0.0062263545791774915,0.00001037260707296421,0.0038441325049798974,0.011153985112060432,0.01488559655419006,0.012420543961258109,0.006293049876706762,0.001195857728059896,0.00015393458232147557,0.002697153241182567,0.005896465552333841,0.006956195886967545,0.005213472832874,0.0022225378972693896,0.0002130631749051093,0.0003286034424836229,0.001964789349762559,0.003503914135561531,0.0036758884829631976,0.0024435473061575307,0.000835738606974818,0.000016018189218577752,0.0003935832396665722,0.0014290327974253777,0.0021755203838110175,0.0020448504249091183,0.0011956666855057123,0.000308685649470387,0.0000034575574320773806,0.000382165833494623,0.001023463574299314,0.0013690030513880966,0.0011601556900708674,0.0005915962605180644,0.00010495401645644887,0.000024946497593478514,0.0003310994015514473,0.0007179252608970116,0.0008606520100961621,0.0006608559986540531,0.0002909016177670558,0.00003005306581294253,0.000041714382805364014,0.00026587703072712975,0.0004923220569598369,0.0005367133232564258,0.00037493198077345584,0.00014073357345927834,0.000005922668542593745
