Parameters
Crystal: LiNB-MgO
PM Type: Type 0:   e -> e + e
Crystal Length (m): 0.02
Crystal Theta (rad): 1.5707963267948966
Crystal Phi (rad): 0
Crystal Temperature (C): 47
Poling Period (m): 0.0000193208440971288
Pump Wavelength (m): 7.7506e-7
Signal Wavelength (m): 0.00000155012
Idler Wavelength (m): 0.00000155012
Pump Bandwidth FWHM (m): 
Signal Angle Internal (rad): 0
Idler Angle Internal (rad): 0
Signal Angle External (rad): 0
Idler Angle External (rad): 0
Pump Waist Radius(1/e^2) (m): 0.00009999999999999999
Signal Waist Radius(1/e^2) (m): 0.00009999999999999999
Idler Waist Radius(1/e^2) (m): 0.00009999999999999999
Signal/Idler Focus Position inside crystal (m): 0.015319945543305949


x: Wavelength of Signal (nm)
1525,1525.5050505050506,1526.010101010101,1526.5151515151515,1527.020202020202,1527.5252525252524,1528.0303030303032,1528.5353535353534,1529.0404040404042,1529.5454545454545,1530.050505050505,1530.5555555555554,1531.0606060606062,1531.5656565656566,1532.0707070707072,1532.5757575757577,1533.080808080808,1533.5858585858587,1534.090909090909,1534.5959595959596,1535.1010101010102,1535.6060606060605,1536.111111111111,1536.6161616161617,1537.121212121212,1537.6262626262626,1538.1313131313132,1538.6363636363635,1539.141414141414,1539.6464646464647,1540.1515151515152,1540.6565656565656,1541.1616161616162,1541.6666666666667,1542.1717171717173,1542.6767676767677,1543.1818181818182,1543.6868686868688,1544.1919191919192,1544.6969696969695,1545.2020202020203,1545.7070707070707,1546.2121212121212,1546.7171717171718,1547.2222222222222,1547.7272727272725,1548.2323232323233,1548.7373737373737,1549.2424242424242,1549.7474747474748,1550.2525252525252,1550.7575757575758,1551.2626262626263,1551.7676767676767,1552.2727272727273,1552.7777777777778,1553.2828282828282,1553.7878787878788,1554.2929292929293,1554.7979797979797,1555.3030303030305,1555.8080808080808,1556.3131313131312,1556.8181818181818,1557.3232323232323,1557.8282828282827,1558.3333333333335,1558.8383838383838,1559.3434343434344,1559.8484848484848,1560.3535353535353,1560.858585858586,1561.3636363636365,1561.8686868686868,1562.3737373737372,1562.8787878787878,1563.3838383838383,1563.8888888888887,1564.3939393939393,1564.8989898989898,1565.4040404040404,1565.909090909091,1566.4141414141413,1566.9191919191921,1567.4242424242425,1567.9292929292928,1568.4343434343434,1568.9393939393938,1569.4444444444446,1569.949494949495,1570.4545454545455,1570.9595959595958,1571.4646464646464,1571.969696969697,1572.4747474747476,1572.979797979798,1573.4848484848485,1573.989898989899,1574.4949494949497,1575
y: Wavelength of Idler (nm)
1575,1574.4949494949497,1573.989898989899,1573.4848484848485,1572.979797979798,1572.4747474747476,1571.969696969697,1571.4646464646464,1570.9595959595958,1570.4545454545455,1569.949494949495,1569.4444444444446,1568.9393939393938,1568.4343434343434,1567.9292929292928,1567.4242424242425,1566.9191919191921,1566.4141414141413,1565.909090909091,1565.4040404040404,1564.8989898989898,1564.3939393939393,1563.8888888888887,1563.3838383838383,1562.878787878788,1562.3737373737374,1561.8686868686868,1561.3636363636363,1560.858585858586,1560.3535353535353,1559.8484848484848,1559.3434343434342,1558.8383838383838,1558.3333333333333,1557.828282828283,1557.3232323232323,1556.8181818181818,1556.3131313131312,1555.8080808080808,1555.3030303030305,1554.7979797979797,1554.2929292929293,1553.7878787878788,1553.2828282828282,1552.7777777777778,1552.2727272727273,1551.7676767676767,1551.2626262626263,1550.7575757575758,1550.2525252525252,1549.7474747474748,1549.2424242424242,1548.7373737373737,1548.2323232323233,1547.7272727272725,1547.2222222222222,1546.7171717171718,1546.2121212121212,1545.7070707070707,1545.2020202020203,1544.6969696969695,1544.1919191919192,1543.6868686868688,1543.1818181818182,1542.6767676767677,1542.171717171717,1541.6666666666665,1541.1616161616162,1540.6565656565654,1540.1515151515152,1539.6464646464647,1539.141414141414,1538.6363636363635,1538.1313131313132,1537.6262626262626,1537.1212121212122,1536.6161616161617,1536.1111111111109,1535.6060606060607,1535.10101010101,1534.5959595959598,1534.0909090909092,1533.5858585858587,1533.0808080808083,1532.5757575757575,1532.0707070707072,1531.5656565656564,1531.0606060606062,1530.5555555555554,1530.0505050505053,1529.5454545454545,1529.040404040404,1528.5353535353536,1528.030303030303,1527.5252525252524,1527.020202020202,1526.5151515151515,1526.010101010101,1525.5050505050506,1525
Data
0.10986229362462585,0.6765320634271804,1.0124960639532756,0.5429938381949035,0.05242038044964141,0.021351012531659788,0.03696415804229715,0.00046532252821109775,0.01300558480209392,0.007196172922545312,0.0009427929369162419,0.007021925806046845,0.0009117160641669207,0.0021658103806599647,0.0030087915180990244,0.0000017369600027190933,0.002094531277553989,0.0008832949138035709,0.0003175730250271374,0.0013602743101872893,0.00010654170133066655,0.0005680180096529152,0.0006303946309907556,0.000007190281868694695,0.000529931987663038,0.00018992553688487645,0.00009579659490004115,0.000341914099609303,0.00002250970540502247,0.00015002413675918304,0.0001601863034824127,0.00000181222031581107,0.0001346647901950916,0.00005084532555858395,0.000021647930055021067,0.00008657781037553238,0.000007690618767313391,0.00003347583546494074,0.000041958169267364984,2.2612981081378594e-8,0.000030208555521245306,0.000014845437881092667,0.0000031030856127430125,0.000019955927781785827,0.0000032267762586500065,0.000005628406123946243,0.00001030728176601597,1.6064071806932282e-7,0.000005464045100245493,0.0000041780995446535485,1.6427975003927735e-7,0.000003859131278739283,0.0000012545136934044218,5.88493266814265e-7,0.0000021784574750417676,2.2488159485898572e-7,7.052463642054577e-7,0.0000010152383066089708,5.6733729856938025e-9,5.68032373780588e-7,3.900921479768754e-7,1.842673349633914e-8,3.623178283624006e-7,1.1872222866661991e-7,4.875450246535494e-8,1.9512232039077943e-7,2.512914844097258e-8,5.358086673208869e-8,9.131982368864254e-8,2.135149110852796e-9,4.2019610500564526e-8,3.7523790144491385e-8,2.0348556658332994e-10,2.723283842048734e-8,1.3457242257262513e-8,1.7316276090751854e-9,1.556398922216602e-8,4.086563912746669e-9,2.479257409141002e-9,8.142910259575867e-9,9.616796501604224e-10,2.321962469999111e-9,4.005299537690013e-9,1.2805068283046866e-10,1.8113793962747621e-9,1.8962878177563484e-9,1.2338697982520127e-14,1.3079554490000883e-9,8.874323273246788e-10,3.6926548401909314e-11,9.454053855622768e-10,4.271771651724354e-10,9.56859795126726e-11,7.548761877539866e-10,2.2948123901750093e-10,1.7941105950085616e-10,8.229662446419809e-10,1.773003199374588e-10,5.810849054540182e-10,3.4059242440726085e-9
0.006784198674410179,0.12786693034216207,0.7078787606710153,1.00643393899198,0.5111116693136352,0.042157435246375566,0.02431557878923367,0.03505421832673837,0.00016223414899109952,0.013546320713766347,0.006444477801624667,0.0012460412612111894,0.006955446721142479,0.0007001312736546447,0.0023693809276069426,0.0028453022443810276,0.00001606665234073653,0.0021484739069705964,0.0007812847855390633,0.0003795143670141821,0.0013371369248325144,0.00007669346426265109,0.0006070484063758731,0.0005942566496355789,0.000014742147243398845,0.0005389630896475829,0.0001681286596833266,0.00011044067929231643,0.00033567699592843686,0.000016291486387769057,0.00015878917875429262,0.00015185229581435474,0.00000348447594004643,0.00013679430721866325,0.000045843605301066494,0.00002479258612632709,0.0000854159943753289,0.000006075025240120527,0.000035433026072904114,0.00004027767772507472,1.4227787730163018e-7,0.00003082082422453167,0.000013768561034459695,0.0000036365853531224943,0.000019866372436395986,0.000002800721367799451,0.0000060126768375605035,0.000010050592366411445,9.558490336066297e-8,0.000005624123719322729,0.000003986046698059197,2.172217036418091e-7,0.000003885103098101808,0.0000011610149546473223,6.447155401140803e-7,0.000002157597349610327,1.9487511415569696e-7,7.362652934003973e-7,9.913596338763603e-7,2.7753538264717776e-9,5.791644287123597e-7,3.753772160233387e-7,2.249683311844602e-8,3.63983756843733e-7,1.1209964917468096e-7,5.242831852274591e-8,1.9393822763263382e-7,2.2927901248705698e-8,5.554721178864562e-8,8.999593891448842e-8,1.7191615616637477e-9,4.278811807894827e-8,3.670290270627335e-8,2.963146571601729e-10,2.743595033268471e-8,1.3063992446934099e-8,1.8773144564305916e-9,1.5570927960101748e-8,3.931194780610112e-9,2.573083331666323e-9,8.108290488056709e-9,9.116946606294144e-10,2.3676817285840664e-9,3.975933188597452e-9,1.1673633153716921e-10,1.829983444322084e-9,1.878978552169408e-9,3.70700268534446e-14,1.3143479673671614e-9,8.787741449484869e-10,3.9030873560627954e-11,9.47141536341966e-10,4.2327028135545567e-10,9.744766015118745e-11,7.551386868744604e-10,2.2788317587351164e-10,1.8049917747450074e-10,8.229439459424477e-10,1.768819659548654e-10,5.810849054540181e-10
0.04482705039056735,0.004482545423753424,0.14692844390412196,0.7378731296465403,0.9982796357989733,0.4800996301615718,0.03332920004682194,0.027145740919335422,0.03306741378395983,0.000017811370295432534,0.013996587739158545,0.005724442279662398,0.001570967033953348,0.0068540133990132495,0.0005189409295981915,0.0025621818042973533,0.0026776178011689105,0.00004357303130334137,0.0021909356732475772,0.0006851493495532493,0.0004428203313642478,0.0013091099721363206,0.000052212636505946224,0.0006434096659754722,0.0005580009637804673,0.000024513898838304758,0.0005456828310904621,0.00014775082956782523,0.00012514314139243818,0.0003285474327503705,0.000011196697744286047,0.00016694188168287256,0.00014355666241221897,0.000005595014757804571,0.00013844906114619104,0.000041146437314739016,0.00002794646836514925,0.00008407597681531789,0.000004687128334998299,0.000037274209919274776,0.00003859964899300841,3.5341000306395654e-7,0.000031343359210278386,0.000012745113116613607,0.0000041792573912468,0.00001974062383462688,0.000002416155689907214,0.000006380423344641063,0.00000979045521988375,4.901675790817278e-8,0.000005769597585162098,0.000003800966667993371,2.741544781899251e-7,0.000003904253795575125,0.0000010739092161924933,6.99619677783036e-7,0.000002135184438979381,1.681898422971278e-7,7.65403602077371e-7,9.679676485660222e-7,9.772299819367113e-10,5.892001044979649e-7,3.6142756245730713e-7,2.6676919852225996e-8,3.652533077748935e-7,1.0597413837334644e-7,5.595139549691416e-8,1.9270244473528378e-7,2.0950503285038767e-8,5.7376878805595545e-8,8.872455419553654e-8,1.3728910376204883e-9,4.348443259586579e-8,3.593770528585445e-8,3.9689898176198776e-10,2.761249358196458e-8,1.2705419268170821e-8,2.0144048658136418e-9,1.5572798375734304e-8,3.792630903624152e-9,2.6581726351584328e-9,8.075794605699549e-9,8.683264888542906e-10,2.4079149771569278e-9,3.949824864238229e-9,1.0735819947009561e-10,1.8457862020614657e-9,1.8642538642697544e-9,1.981814593066161e-13,1.3195050539114747e-9,8.71844224197238e-10,4.0704874934831476e-11,9.484177741346732e-10,4.2048402714874e-10,9.862928115939284e-11,7.552903580528848e-10,2.2708547832983651e-10,1.8086237707460024e-10,8.229439459424474e-10,1.7730031993745887e-10
0.00755142643695701,0.045210328130992336,0.0026075359117227947,0.1669404710234821,0.7664166414243379,0.9882153381599521,0.45006608760924127,0.02581977876724284,0.029806411651535233,0.031034397632824215,0.00001573058374657714,0.01435764159477362,0.005041529930979614,0.0019109471343715422,0.0067215873035723715,0.00036738332304591574,0.0027426628236220064,0.0025079068617420383,0.00008267512068605147,0.002222357467376075,0.0005953632735549274,0.0005066311900938596,0.001276883705638426,0.000032840848631800585,0.0006769417213715618,0.0005219829705568643,0.00003618704903906448,0.0005502253897104476,0.00012884413183765023,0.0001397495652861787,0.00032066982856299175,0.00000715764036914867,0.00017446291012626492,0.0001353660954685062,0.000008077971754059348,0.00013965998193332638,0.00003676119655752854,0.000031079797495291334,0.00008258652930523431,0.000003513233602248082,0.0000389956092022074,0.00003693706304045512,6.435178479437639e-7,0.00003178151863792555,0.000011777028230682653,0.000004725297156372808,0.00001958375662012633,0.0000020710868349667317,0.000006730491782524402,0.000009529336254739271,1.891287169795578e-8,0.0000059010516690489314,0.000003623462995070691,3.34024414645494e-7,0.00000391730731455978,9.930586987926348e-7,7.528831397678607e-7,0.000002111630307504568,1.4457954358984005e-7,7.926565197660331e-7,9.452103065483226e-7,1.222142643910531e-10,5.982064086412605e-7,3.482652950062615e-7,3.090088509819808e-8,3.6617798051366094e-7,1.0033118723533433e-7,5.930612174922108e-8,1.9144004668990345e-7,1.918143907540183e-8,5.906974492805995e-8,8.751434991549029e-8,1.0874396261727657e-9,4.411184619256927e-8,3.522991787293851e-8,5.014582534434869e-10,2.776496322220715e-8,1.2381196450332638e-8,2.1416814779246526e-9,1.5570878123853464e-8,3.67031070679218e-9,2.734282650881135e-9,8.045942544984394e-9,8.312062842489936e-10,2.442691639576743e-9,3.9271454421659695e-9,9.973298557873341e-11,1.858851617845247e-9,1.8521546558063334e-9,4.1866096562121984e-13,1.3234702582457583e-9,8.666451642155046e-10,4.192045879685088e-11,9.492562514717619e-10,4.188140632628583e-10,9.922223043516716e-11,7.553399436423268e-10,2.2708547832983654e-10,1.8049917747450074e-10,8.229662446419812e-10
0.00649400537741442,0.00927080628890653,0.04528347312900209,0.0012088988869451702,0.18779152786107053,0.7934298172891943,0.9764250180332009,0.4210995371391004,0.019514767519423014,0.032271321069959766,0.028982746812594242,0.00013954764647146779,0.014632124528340089,0.0043999800134710745,0.002259941322211951,0.006562170608198942,0.00024433504523875733,0.002909657307926903,0.002338122491080354,0.00013180635527349592,0.002243299132391007,0.0005122545722965624,0.000570183248385243,0.0012411310026069805,0.000018277983934260516,0.0007075453850988714,0.0004865140266229817,0.00004945499005080301,0.0005527402766139193,0.00011143485522745886,0.00015412577202664044,0.0003121820863321137,0.000004100883098508919,0.0001813440005622639,0.0001273382458633434,0.000010870701530753596,0.0001404602741584666,0.00003269054833154998,0.000034166740688593505,0.00008097500764573684,0.000002538707262577929,0.0000405954501908663,0.00003530125288109026,0.0000010006857687376605,0.00003214108252275673,0.000010865408156163905,0.000005269565628334955,0.000019400641652321625,0.0000017633315170595055,0.000007062071105000688,0.000009269449010140896,3.3141636616752883e-9,0.000006019160622598629,0.000003454004255115576,3.9586980027858196e-7,0.000003924973228087462,9.182858486592724e-7,8.042355584177665e-7,0.000002087316067988682,1.2379926642686047e-7,8.180368627973375e-7,9.232167335129292e-7,6.306780285857484e-11,6.062519448167548e-7,3.359053906147134e-7,3.510927876825881e-8,3.6680677168035457e-7,9.515503978539689e-8,6.247776121569487e-8,1.901739678425811e-7,1.7605752913132896e-8,6.062643930002089e-8,8.637294558095774e-8,8.545823047872744e-10,4.467362415186153e-8,3.458090670306439e-8,6.066068590794232e-10,2.7895679233828197e-8,1.2090948178937719e-8,2.2580928868007845e-9,1.556631351473165e-8,3.5637095407580067e-9,2.8012191901797743e-9,8.019185575502376e-9,8.000071765017193e-10,2.4720444631298526e-9,3.908037311494505e-9,9.370557364370394e-11,1.869234926456215e-9,1.8427128379777303e-9,6.37268926418247e-13,1.3262778360023724e-9,8.631784767418061e-10,4.265772304044822e-11,9.4967178077347e-10,4.1825771034197926e-10,9.922223043516726e-11,7.552903580528842e-10,2.2788317587351195e-10,1.7941105950085634e-10
0.013380512711622288,0.005553974876990905,0.011098128152913339,0.045056760257818795,0.00032878058799413237,0.20936674725177604,0.8188516604804428,0.9630922289226815,0.3932698944915506,0.014302530632370794,0.03452199703426111,0.026936885076733606,0.0003730224603314037,0.014823814178858218,0.003802895930927432,0.00261252432069368,0.006379725753606139,0.0001483799278155966,0.0030623516424926073,0.0021699955972323574,0.00018944036705376735,0.0022544137513202766,0.0004360182438047992,0.0006328091996197178,0.001202498193337942,0.000008192700797122675,0.0007351759219628648,0.00045186214880524116,0.00006402637005324632,0.0005533878982385506,0.00009552648967354227,0.00016815721506108005,0.0003032143260404168,0.0000019491412389373288,0.00018758659950274766,0.00011952207511081405,0.000013914262130930314,0.00014088462570393013,0.00002893304568762778,0.00003718523958280516,0.00007926716078644416,0.0000017483062632457859,0.0000420737106334873,0.00003370197852107288,0.0000014136527008479637,0.000032428116703056895,0.000010010624557631436,0.000005807561451561236,0.000019195912110752587,0.0000014905706778854857,0.000007374653475420097,0.000009012763424385819,3.4086115376502366e-10,0.000006124666880723621,0.0000032929385043764458,4.588187705204063e-7,0.000003927940067096531,8.493817444397634e-7,8.534538385824017e-7,0.0000020625924443642785,1.0560824096929867e-7,8.415719437553361e-7,9.020987050222484e-7,6.624056757409314e-10,6.134057026703345e-7,3.24356757097839e-7,3.924893494463698e-8,3.671859286096265e-7,9.042916725200169e-8,6.545412154710114e-8,1.8892505808851016e-7,1.6209185847755257e-8,6.204817201888908e-8,8.530698808331172e-8,6.667777515099505e-10,4.517294292525679e-8,3.3991738541777685e-8,7.093367615297276e-10,2.8006771979518327e-8,1.1834272697584397e-8,2.362739259635551e-9,1.5560119642401904e-8,3.472347590735724e-9,2.8588288979293794e-9,7.995908897627155e-9,7.744460983822737e-10,2.4960063724351454e-9,3.892616192032018e-9,8.914908327034333e-11,1.876981566531589e-9,1.8359522668975744e-9,8.082985795283209e-13,1.3279524585002115e-9,8.614449643356535e-10,4.290479342966181e-11,9.496717807734684e-10,4.188140632628593e-10,9.862928115939299e-11,7.551386868744609e-10,2.2948123901750083e-10
