0.0005630235693310551,0.00008202681485529238,0.00046180380681221393,0.0007199656021028021,0.000030274237481243616,0.001311233460738837,0.0004338086016101559,0.0007667874167661982,0.0021503045811902045,0.000004410906368520322,0.0030386134187839137,0.002093695609837019,0.001068374678575413,0.007076095744912606,0.0006743275852896162,0.008071973273760127,0.012337592628567354,0.0010283242670359623,0.03917547250753628,0.018493262727987517,0.0625446387424043,0.5664038875692389,1.0148086253960655,0.6670839827799709,0.10956342120874417,0.008567693053955374,0.04346704014207296,0.004453760500649421,0.009017157027953429,0.01124516380162223,0.0000011425301514593738,0.006503631617637988,0.0027777445480651718,0.0007932362324381711,0.0037544317211975005,0.00036504332274190423,0.0013634050572989107,0.001709456283117941,0.000003113751922690598,0.0012726753757147683,0.00055957227438799,0.00017394101360422072,0.0008560959313601671,0.00009505736552934091,0.0003135421706356437,0.0004385370184936396,1.3565540073207997e-8,0.00031019490225690766,0.00016511231478759746,0.00003081966993403842,0.00022171202165531244,0.000038155638750453703,0.0000646068247979877,0.00012305006642575637,0.0000019133744408975337,0.00006895288970173543,0.000053055271873504896,0.000002488009623937601,0.00005274856572304295,0.000016553733186249895,0.000009212642420865612,0.00003189465818098111,0.0000028491900878524556,0.00001173747747040299,0.000015696972816924296,1.8646779806964332e-8,0.00001003522846788498,0.000006224594394652079,5.26970244998852e-7,0.000006738664567647506,0.0000018688267856347282,0.0000011847171759336167,0.0000037692734041712728,3.449972335750549e-7,0.0000012831292614170646,0.0000017960107225864803,1.0887666440533307e-8,0.0000010101702635245007,7.292391967024544e-7,2.4344907632115808e-8,6.527922007047886e-7,2.463335324556256e-7,7.103936713670516e-8,3.6501925562123595e-7,6.445288357195529e-8,8.232771511278068e-8,1.814277571265931e-7,1.044089529196012e-8,6.784978285563515e-8,8.128391633727466e-8,2.392913984466175e-10,4.632549838775405e-8,3.299599175316446e-8,8.070001909531581e-10,2.80067719795183e-8,1.2090948178937719e-8,2.1416814779246737e-9,1.557279837573432e-8,3.931194780610132e-9,2.4792574091410005e-9
0.00006714294375249591,0.0005665785367754675,0.00006280749518569986,0.0005020653241390536,0.0006863644206320548,0.00004948211271340218,0.0013407579993396407,0.0003743781307306179,0.0008572467372234094,0.0021014865494751967,3.105210688111617e-8,0.003164238232360447,0.0019281405952904828,0.0012608629921833558,0.007074987947064497,0.0005031849713342723,0.008609904918289883,0.011866335654067802,0.0014499829289191524,0.04021932388187665,0.0166180797076923,0.07013134916662823,0.5852703604096752,1.016520287515215,0.6493214857956393,0.10048958941070378,0.010021714897084503,0.04293525924013453,0.003812827074154097,0.009482081280973265,0.01087753144311851,0.000015163310706335552,0.006600835619801715,0.002602684165807563,0.0008845888594241072,0.003726392509844698,0.0003145134822154812,0.0014194329915118366,0.0016632147736068163,0.000007508996498892337,0.0012887051392245865,0.0005306814060977256,0.00019024663511816968,0.0008517933074377593,0.0000849839187133614,0.0003246276645059002,0.00042997282883800976,7.433001624713147e-8,0.00031404843218340076,0.00015923180271478182,0.00003362840431726212,0.00022147702856696824,0.00003573508791109949,0.00006677196856582004,0.0001217039997098243,0.0000015308628903639911,0.00006988122736984827,0.00005200337961982817,0.0000027911202329218136,0.00005290263927435247,0.000016047882567954134,0.000009529447813849784,0.00003178008378789679,0.0000026993494733674496,0.000011901917265112293,0.000015572956608675817,1.1838407952464474e-8,0.00001008665735041904,0.000006157415321768572,5.483435719219315e-7,0.0000067433102417190264,0.0000018451515948819139,0.0000011981851580387464,0.000003764724863880712,3.4024702902870903e-7,0.0000012870689271577999,0.000001793960161666286,1.0729580386359224e-8,0.0000010101702635244958,7.299346405032179e-7,2.4015609673883643e-8,6.524129918474546e-7,2.4778622792712594e-7,7.012591260531415e-8,3.652207011375021e-7,6.551166051030508e-8,8.137865122638964e-8,1.8201283619950227e-7,1.0905154385210688e-8,6.71973483520808e-8,8.190121380648946e-8,3.085759436100103e-10,4.599614927935849e-8,3.346322982937023e-8,7.093367615297256e-10,2.789567923382823e-8,1.238119645033263e-8,2.014404865813668e-9,1.5570927960101722e-8,4.0865639127466866e-9
0.00020517917999783304,0.00008431902702217258,0.0005675195936634969,0.00004620742649484572,0.0005409543566952331,0.0006514466204043943,0.00007261002722955986,0.0013647148462443003,0.0003191386647747977,0.0009473306855558076,0.002046910697677708,0.000005768086130989,0.0032787491177732227,0.0017669805455337076,0.0014600917174029625,0.007052553048447983,0.0003588723435819475,0.009127393579473873,0.011382586265507227,0.0019284226694779106,0.04115291200067418,0.01483046220014598,0.07791869543680967,0.6034229866238573,1.0174406244490197,0.6320898859267255,0.092164044391196,0.011478262880781888,0.04235561762419108,0.0032439874344984253,0.009918499571177257,0.010516302669865848,0.000043264592501996,0.006684114491460921,0.002438064122980491,0.0009747054911644229,0.003695141594694331,0.00026972584338395627,0.0014718754608373762,0.0016182501632284285,0.000013402346179229449,0.0013026568868480522,0.0005036711480691864,0.00020608814559484173,0.0008470613849525094,0.00007598405811707899,0.00033494465901973846,0.0004217554814412233,4.038456095223813e-7,0.0003174697298286565,0.00015378146928119493,0.00003632096101743157,0.0002211559385466408,0.00003356147690932259,0.00006876342568290192,0.00012043533203007475,0.0000012190476876391526,0.00007070744971020923,0.00005104867973738426,0.0000030774915086406096,0.00005302881019681981,0.000015602572863711658,0.000009811262780607556,0.000031675418683805335,0.000002572619579929876,0.000012042234611624959,0.000015467095555030047,7.345569875104922e-9,0.000010128138594954874,0.000006103680438008764,5.652222982075201e-7,0.000006746592720613963,0.000001828306935794473,0.0000012071834615994906,0.0000037619667271501377,3.378837622356445e-7,0.0000012883813426700421,0.0000017939601616662887,1.0887666440533302e-8,0.0000010090818290635392,7.320204695733656e-7,2.3363276597690456e-8,6.517718103373012e-7,2.499696237517394e-7,6.885391905718317e-8,3.65475485557281e-7,6.688389940776564e-8,8.019352355588996e-8,1.8271641891875595e-7,1.1475501472238561e-8,6.642184951422258e-8,8.261545114615634e-8,3.9959995895953916e-10,4.561283631854991e-8,3.399173854177758e-8,6.06606859079418e-10,2.7764963222207168e-8,1.2705419268170793e-8,1.877314456430604e-9,1.556398922216602e-8
0.0002907090685299097,0.0001875883056375485,0.00010265728127075482,0.0005660199214337652,0.00003224573083717865,0.0005782002183961558,0.0006156651755124723,0.00009920246380841426,0.0013833002692228578,0.00026834420513889535,0.0010363018610964772,0.001987535617658003,0.000020896594756733715,0.003382076934391724,0.0016113451620161498,0.0016640277263801559,0.00701078344432848,0.00024070245725301827,0.009622282345815738,0.010891504482178155,0.0024565897927498756,0.04197887988918278,0.013140122517397192,0.08585994305972637,0.6208407968181562,1.0176491951819762,0.6154263963564888,0.08453929925272329,0.012921239059590377,0.04173902351923767,0.0027420266399608,0.010326178089880598,0.010163653532135032,0.0000831864762784855,0.006754584609182253,0.002283875177684873,0.0010629063784785213,0.003661414071122061,0.00023024958523048622,0.0015207472788179646,0.0015748092676172898,0.000020493342524758785,0.0013147097757065746,0.0004785274701575493,0.0002213601344717954,0.0008420280125539697,0.00006797843521684372,0.000344497533349307,0.00041393124220791874,9.452137951007757e-7,0.00032049189654988637,0.0001487606804427757,0.00003887557046406271,0.00022077311121215608,0.000031621405644481805,0.00007057986644813088,0.00011925394233519233,9.676899519855386e-7,0.00007143622578934192,0.00005019246283301533,0.0000033426596547149947,0.0000531309462211759,0.00001521638384067363,0.000010057144726407218,0.00003158245586403694,0.0000024676715745893707,0.000012158697675263323,0.000015379865453680912,4.5219238601583086e-9,0.000010160027357556576,0.000006063387054573405,5.774140500268722e-7,0.000006748684931554906,0.0000018182268386392096,0.0000012116884183309723,0.0000037610425234444173,3.3788376223564747e-7,0.0000012870689271578024,0.0000017960107225864839,1.13689444985824e-8,0.0000010068974010934778,7.35495131415253e-7,2.2400488751552848e-8,6.508549252645544e-7,2.5288880469860073e-7,6.723040173747456e-8,3.6577171513217933e-7,6.857767825664383e-8,7.877338514049514e-8,1.8353142496100555e-7,1.2159108993825184e-8,6.552130052807877e-8,8.342364937371639e-8,5.171724828908237e-10,4.517294292525672e-8,3.45809067030646e-8,5.014582534434905e-10,2.761249358196463e-8,1.3063992446934123e-8,1.731627609075199e-9
2.389412541967138e-8,0.0003038448862134471,0.00017033802207847606,0.00012191277841462617,0.0005622708973601991,0.0000209009957771798,0.0006135807065602207,0.0005794402186471679,0.0001287983021074642,0.0013967643498407675,0.0002221604931410775,0.0011235080842991942,0.0019242877132749025,0.000044632141085522404,0.0034743040110823777,0.0014621741592609231,0.0018707655211154524,0.006951720510994018,0.000147700270768308,0.010092882918026668,0.010397837648888525,0.0030273709448342687,0.042700873971951596,0.011554646631302765,0.09390864997574933,0.6375081074260257,1.0172238335625672,0.5993623130349648,0.07756925117870443,0.014337240916860524,0.041095526907800786,0.002301722980742774,0.010705247759501987,0.009821446604935995,0.00013281778270807254,0.006813375707883378,0.0021400169501199443,0.0011486063281478495,0.0036258949139260557,0.00019565470260667726,0.001566093930338813,0.0015331038089753505,0.000028503115263118062,0.00132504072173989,0.0004552252843893069,0.00023597179141501612,0.0008368113632124298,0.00006088957696952821,0.00035329499358113835,0.00040654014264467867,0.0000016460648418221887,0.0003231469521930745,0.00014416709036408774,0.00004127325395428795,0.00022035082484182387,0.00002990206399075246,0.00007222071278964995,0.00011816845586882806,7.67526551618246e-7,0.00007207196194251862,0.00004943567606820934,0.0000035827529948839087,0.0000532124784836042,0.000014888003174977768,0.000010266334838555265,0.000031502712680855646,0.000002383370418269197,0.000012251549233512838,0.000015311643208780054,2.8526203437873216e-9,0.000010182603202078285,0.000006036529530663924,5.847829937945177e-7,0.000006749702199563497,0.0000018148712783774336,0.0000012116884183309676,0.0000037619667271501445,3.4024702902871014e-7,0.0000012831292614170655,0.0000018001018826852124,1.2194487321271914e-8,0.0000010036019454086085,7.40355855691882e-7,2.114625099608411e-8,6.496431703029504e-7,2.5655031913182596e-7,6.526462510159085e-8,3.6609445666164754e-7,7.060271257518942e-8,7.711975215976713e-8,1.8444933500449453e-7,1.2964299058999334e-8,6.449359362963146e-8,8.432223755733399e-8,6.667777515099589e-10,4.467362415186143e-8,3.522991787293846e-8,3.9689898176199624e-10,2.7435950332684815e-8,1.3457242257262495e-8
0.00021183473273929542,3.947329227557429e-7,0.00031570595747579006,0.00015358941380160695,0.00014185022980073045,0.0005564768688963115,0.000012115997501613934,0.0006469205110584399,0.0005431557189203323,0.00016093883809050575,0.0014054010976245535,0.00018067200202869887,0.0012083831249467992,0.0018580505118098016,0.00007614942915488542,0.0035556462666918604,0.001320224112574958,0.0020785404953004125,0.006877420230464791,0.00007864677922486795,0.010537948230874554,0.009905899070742684,0.003633688115569212,0.04332339815883435,0.010079570166587636,0.10201901454725022,0.6534140975737956,1.0162402312035894,0.5839235363313502,0.07120941930705191,0.015715262279272862,0.040434323932181215,0.00191791520177155,0.011056144477032598,0.009491255824987761,0.00019019956849019697,0.006861614201701119,0.002006313597919064,0.0012313070235425091,0.0035892182186040887,0.00016551744975491775,0.0016079858451759183,0.0014933135245684605,0.00003717443925482294,0.0013338223411396974,0.0004337307862013677,0.000249845552041774,0.0008315199730104049,0.00005464272767082805,0.00036134907816214875,0.00039961656824679076,0.0000024585360798172305,0.00032546547386953263,0.00013999706704714314,0.00004349757956252725,0.00021990927593509865,0.000028391390575988093,0.00007368596105871538,0.00011718633768951654,6.102794023990918e-7,0.00007261873200512668,0.000048778992069452446,0.0000037944603737045696,0.000053276392396207015,0.000014616255100967104,0.00001043823324000863,0.00003143743927939137,0.000002318780519851749,0.000012320996081061265,0.000015262714185258622,1.952884520628431e-9,0.00001019606762808588,0.000006023102400479687,5.872482582850375e-7,0.0000067497021995634836,0.000001818226838639204,0.000001207183461599487,0.00000376472486388071,3.449972335750547e-7,0.0000012765552101378886,0.0000018062135435364868,1.3399463497067963e-8,9.991731323644667e-7,7.465983909829591e-7,1.9626151981986295e-8,6.481119947620007e-7,2.609619756568774e-7,6.29682845992182e-8,3.6642569808590284e-7,7.297025515255191e-8,7.523474226444008e-8,1.85460118509844e-7,1.3900515769434086e-8,6.33365813012843e-8,8.530698808331172e-8,8.545823047872454e-10,4.411184619256913e-8,3.59377052858545e-8,2.963146571601656e-10,2.723283842048733e-8
0.00010072099724580671,0.00020530981406487663,0.0000019431394770875616,0.00032627101782529766,0.00013748036848995105,0.00016224688733499707,0.0005488503386202599,0.000005802517246788138,0.0006780889097232499,0.0005071572811840586,0.00019517471977193376,0.0014095390227381053,0.00014388954714424055,0.001290445732181682,0.0017896561777455398,0.00011459883217859042,0.003626435265627938,0.001186077724422018,0.002285737947058585,0.006789923067988591,0.00003212150692933992,0.010956640926610549,0.009419556813796784,0.004268581255492982,0.043851671091499234,0.0087184788834744,0.1101461826862497,0.6685523733908553,1.0147715881126858,0.5691310852452557,0.06541713365696519,0.017046411825397297,0.03976377472671703,0.001585558062323676,0.011379553950967418,0.009174392090901151,0.0002535257347779386,0.006900409081032753,0.0018825283430148822,0.0013105891796384712,0.0035519673094615103,0.00013942493345258484,0.0016465131176390656,0.0014555892986158206,0.000046271494251215264,0.0013412212166207921,0.000414003586120626,0.00026291575309836466,0.0008262528884092516,0.000049166553113754264,0.0003686742508987117,0.0003931898322107107,0.000003339210068891774,0.0003274762906565526,0.00013624607557647717,0.00004553442649399117,0.000219466593442014,0.000027078207702072034,0.0000749760235851216,0.00011631398126661917,4.886586677197335e-7,0.00007308021821311259,0.00004822287047084529,0.0000039750018964849875,0.000053325221182401586,0.00001440012455474007,0.000010572378015145614,0.00003138762617574202,0.0000022731701096327035,0.00001236720055874724,0.000015233278076371918,1.5668738012154927e-9,0.000010200542221789197,0.0000060231024004796995,5.84782993794515e-7,0.000006748684931554911,0.0000018283069357944722,0.000001198185158038745,0.0000037692734041712723,3.521816162618301e-7,0.0000012673352736719784,0.0000018143151199118814,1.503320123617645e-8,9.93581595248404e-7,7.542166278392627e-7,1.787257043618455e-8,6.462315460407036e-7,2.6613258976235706e-7,6.03557274167905e-8,3.667443088501692e-7,7.569297245874188e-8,7.31212381396341e-8,1.865521555261414e-7,1.4978288800877258e-8,6.204817201888933e-8,8.637294558095757e-8,1.0874396261727674e-9,4.34844325958658e-8,3.670290270627328e-8,2.034855665833364e-10
0.000028363776697656422,0.00011080508278107698,0.00019821837608240153,0.000004582524403072968,0.0003355388678167131,0.00012212578706117052,0.00018289482819732608,0.0005396076111183859,0.0000018461330853989411,0.0007069969200872743,0.0004717509633197357,0.00023107179224596237,0.0014095323066531454,0.00011175825321479479,0.0013692972440372444,0.0017198790964151494,0.00015912116775161818,0.0036871005654907432,0.0010601549909444545,0.002490898216610001,0.006691228115739743,0.000006542968067451003,0.01134849876272568,0.008942231820388452,0.004925278758182175,0.04429148888113994,0.0074731299023915836,0.1182465118955834,0.682920521710654,1.0128883257789398,0.5550015988295905,0.060151678669067676,0.01832365025414277,0.03909143160552887,0.0012997674929362938,0.011676361347289155,0.008871929081602496,0.00032114122968605126,0.006930840167023677,0.0017683768012389722,0.0013861046390720845,0.003514675559567886,0.00011697892005765954,0.0016817806805680953,0.001420056242831088,0.00005557938534688078,0.0013473964645056371,0.0003959986648068553,0.0002751273267303097,0.0008210998952318439,0.0000443937283647366,0.0003752865804364445,0.00038728472586484474,0.000004249023291140634,0.00032920622854778656,0.0001329090240915347,0.00004737176331201919,0.00021903886401845483,0.000025952335141320103,0.00007609158790935464,0.00011555679074552834,3.963617512844541e-7,0.00007345966209316094,0.000047767611072205544,0.000004122102943190461,0.000053361041695636364,0.000014238776776791472,0.000010668427914178245,0.00003135401051968655,0.000002246014364905329,0.000012390274373108338,0.000015223452997613495,1.5668738012154844e-9,0.00001019606762808588,0.000006036529530663921,5.774140500268696e-7,0.00000674659272061398,0.000001845151594881912,0.0000011847171759336198,0.0000037755394956867255,3.618707639153645e-7,0.0000012554541844115732,0.0000018243650178598938,1.7159271182376204e-8,9.867913007942238e-7,7.632021160864291e-7,1.592492697881271e-8,6.439667761104526e-7,2.7207166841630604e-7,5.7444208299275145e-8,3.6702600143717824e-7,7.878479417101253e-8,7.078307225544515e-8,1.8771215335099828e-7,1.6209185847755254e-8,6.062643930002122e-8,8.751434991549063e-8,1.3728910376204953e-9,4.278811807894818e-8,3.752379014449134e-8
0.00014825295412375562,0.000023074171001949813,0.00012069494350565003,0.00019067332240709832,0.000008218937648065206,0.00034352620102137937,0.00010761821380722552,0.00020360265752471194,0.0005289649344243366,1.1088330162767808e-7,0.0007335940347495207,0.00043720299041712487,0.00026821589372119246,0.001405752671538394,0.00008416567024613457,0.0014446179830270942,0.0016494313706228627,0.00020886067308748367,0.0037381526878972294,0.0009427257692090482,0.0026927184194361826,0.006583271398288031,2.0663909521424772e-7,0.01171339809738913,0.008476903868769809,0.005597256069024169,0.044649094779705155,0.006343589375927589,0.1262777975145244,0.6965196682476477,1.0106578577758838,0.5415478185790487,0.055374399057823764,0.019541546856797952,0.03842407557602468,0.0010558564745781133,0.011947605668232802,0.008584728886651568,0.0003915383058321843,0.00695394848858793,0.001663539152479299,0.0014575686038739602,0.003477827791312106,0.00009779895680104753,0.0017139039243804252,0.001386816713719186,0.00006490348244017998,0.0013524985642304056,0.00037966812701117246,0.00028643454514481315,0.0008161418114410991,0.00004026141771274262,0.0003812030051287837,0.0003819220394280564,0.00000515315480413547,0.0003306798990485082,0.00012998057081978028,0.00004899944129185692,0.0002186401643227284,0.000025004684125442128,0.00007703349343728142,0.00011491925446701902,3.280694975154713e-7,0.00007375982331592761,0.00004741339833231252,0.000004233971742158981,0.00005338547129903222,0.000014131572514263486,0.000010726148782113039,0.00003133708093824822,0.000002236997578514865,0.000012390274373108382,0.00001523327807637189,1.952884520628578e-9,0.000010182603202078271,0.000006063387054573409,5.652222982075095e-7,0.00000674331024171902,0.0000018688267856347327,0.0000011668161718939828,0.000003783420493053161,3.7415827791047975e-7,0.0000012408937409149622,0.0000018363099439626484,1.98555765468603e-8,9.787600093447853e-7,7.735434700548601e-7,1.382997189666046e-8,6.412775851398575e-7,2.787890412445663e-7,5.425418131228909e-8,3.6724330087245273e-7,8.226073579807916e-8,6.822523763048395e-8,1.889250580885093e-7,1.7605752913132926e-8,5.906974492805988e-8,8.872455419553654e-8,1.719161561663711e-9,4.2019610500564566e-8
0.00001537633336441062,0.00014939962542159397,0.000018349244369148747,0.00013031724038238193,0.00018278256295803548,0.000012753397001710914,0.0003502653673253054,0.00009402881431925564,0.0002241966750927914,0.0005171351507027193,4.43719633648665e-7,0.0007578646722341591,0.0004037402448219486,0.0003062166397059988,0.0013985820211502341,0.00006094984897393098,0.0015161627361485871,0.0015789600325142364,0.0002629761701911684,0.0037801669340172274,0.0008339233355099858,0.0028900511788517006,0.006467908207348104,0.000011320069998521675,0.012051516360836472,0.008026124451358906,0.006278282943056732,0.04493105732385946,0.005328383264760442,0.1341994605903284,0.709354037583913,1.0081444115967333,0.5287790537154753,0.05104876998446993,0.020696055093074893,0.03776775855400268,0.0008493625949394513,0.01219443883363176,0.008313466890803194,0.0004633512587989982,0.006970728557591548,0.001567671077650764,0.0015247520814460735,0.003441862089055689,0.0000815248570956943,0.0017430047535165701,0.0013559531895989498,0.00007406862605187929,0.0013566684202385136,0.0003649627709601437,0.00029679983589829485,0.0008114508174223868,0.00003671166296085329,0.00038644067816251756,0.0003771190461349896,0.000006020902538953861,0.0003319195270412515,0.00012745539347707642,0.0000504090070312064,0.00021828259653191507,0.000024227335483018417,0.00007780262628752341,0.00011440500991839462,2.7944083165992106e-7,0.00007398294739536505,0.000047160337839246395,0.000004309280949623275,0.0000533996662901944,0.000014078079405569037,0.000010745404026669711,0.00003133708093824819,0.0000022460143649053497,0.000012367200558747204,0.000015262714185258632,2.852620343787419e-9,0.000010160027357556566,0.000006103680438008747,5.483435719219299e-7,0.000006738664567647533,0.0000018994233016094816,0.000001144533157740585,0.0000037927833416088985,3.8916029762194764e-7,0.0000012236339002704864,0.0000018500840556720247,2.3214436679652175e-8,9.69439862427889e-7,7.852256714055777e-7,1.1642107163646878e-8,6.381190066551971e-7,2.862944252212236e-7,5.080962349506164e-8,3.673655213390309e-7,8.613668719302387e-8,6.545412154710087e-8,1.9017396784258058e-7,1.918143907540194e-8,5.737687880559554e-8,8.999593891448841e-8,2.1351491108527806e-9
0.00005720915797491623,0.00001920363737257385,0.00014997779833217717,0.00001419658866936154,0.0001396093278117385,0.00017464781180003762,0.0000180840102846483,0.0003558021301537967,0.00008140863049247106,0.0002445215525060644,0.0005043248526603747,0.000002678685105720762,0.0007798244596323206,0.00037155141702885185,0.0003447102648771388,0.0013884058920605059,0.00004190721810118736,0.0015837555054347744,0.001509045819336367,0.0003206504589076554,0.003813768271950461,0.0007337584984117385,0.0030819008386090436,0.006346899196392419,0.00003803489872207321,0.01236329419557023,0.007592035410745856,0.0069624599548832634,0.045144157675445766,0.004424657391698639,0.14197269947110155,0.7214305221250479,1.0054088976199527,0.516701619886748,0.04714044042324468,0.021784307290479536,0.037127849790980966,0.0006760685926109212,0.012418089092724146,0.008058655798486618,0.0005353500067793804,0.006982122317439984,0.0014804136054867437,0.0015874746426390088,0.003407171948163032,0.00006781866609990964,0.0017692080708139614,0.001327531014384866,0.00008291824289379475,0.0013600366230800318,0.00035183348986629246,0.0003061926700709236,0.0008070908113575374,0.000033691693796616525,0.0003910163922423719,0.0003728899470545631,0.0000068255551985035025,0.0003329448095264178,0.0001253284229293154,0.00005159353478801748,0.00021797632504556302,0.00002361360217736987,0.00007839983036647148,0.00011401689947631646,2.4710698692874687e-7,0.0000741307397951967,0.00004700848510787472,0.000004347153609776411,0.00005340432083387069,0.000014078079405569012,0.000010726148782113037,0.000031354010519686574,0.000002273170109632696,0.000012320996081061275,0.000015311643208780034,4.521923860157628e-9,0.000010128138594954896,0.000006157415321768576,5.269702449988497e-7,0.000006732425266690196,0.000001937055149636859,0.0000011179353280111721,0.0000038034638027135184,4.0701487192298505e-7,0.000001203654123677102,0.0000018656079588608782,2.7342653326392212e-8,9.587780754324815e-7,7.982292600986972e-7,9.423730081415557e-9,6.344414394793287e-7,2.945969298424429e-7,4.71383865279275e-8,3.673587628716255e-7,9.042916725200169e-8,6.247776121569497e-8,1.9144004668990353e-7,2.095050328503882e-8,5.554721178864544e-8,9.131982368864269e-8
0.00007210023159570285,0.000053144605137552445,0.000023280356662704064,0.0001500271704413818,0.000010614852767777254,0.00014851907573134159,0.0001663636619808921,0.00002410787495440194,0.00036019346641224495,0.00006979004724935892,0.0002644405818558797,0.000490732041798029,0.00000664076781400968,0.0007995164457770062,0.0003407886942801244,0.0003833615971654771,0.0013756077327924878,0.0000268001314675873,0.0016472837299692448,0.001440203282525294,0.0003810980133930126,0.0038396173897743786,0.000642133973687743,0.0032674175259486647,0.006221899997794189,0.00007847562750856328,0.012649398121435241,0.007176392089882438,0.007644245284753272,0.04529528700598246,0.00362834413250046,0.14956061044250857,0.7327582632717418,1.0025088183091977,0.505319257509301,0.04361725077861364,0.022804428035194987,0.03650908482346142,0.000532016704108085,0.012619828864094719,0.007820668464926486,0.000606432865864945,0.006989014534855977,0.001401401844518655,0.0016455975754438889,0.003374108628765214,0.00005636614837740412,0.001792638656532806,0.0013016009544795058,0.00009131341434743261,0.0013627228768340947,0.0003402324997611492,0.0003145885405944223,0.0008031177731895735,0.00003115417103406483,0.0003949460764161221,0.00036924627281579176,0.0000075442649836166625,0.00033377280502615086,0.00012359504259546264,0.00005254748024469405,0.00021772961190958458,0.00002315807900924334,0.00007882583591225232,0.00011375701484994572,2.2866610848936824e-7,0.00007420434771427032,0.00004695786517008278,0.000004347153609776365,0.00005339966629019448,0.00001413157251426351,0.000010668427914178231,0.00003138762617574201,0.0000023187805198517525,0.000012251549233512813,0.000015379865453680932,7.34556987510502e-9,0.000010086657350419069,0.000006224594394652071,5.013533833062052e-7,0.0000067243045745639105,0.0000019818574978359384,0.0000010871083433987014,0.000003815265563632292,4.278811544136151e-7,0.0000011809349789127106,0.000001882787561189108,3.2361538614222885e-8,9.467177874966184e-7,8.125294201796489e-7,7.245590516613458e-9,6.301909454915337e-7,3.037044892395361e-7,4.327257344593284e-8,3.6718592860962713e-7,9.515503978539706e-8,5.930612174922138e-8,1.9270244473528301e-7,2.2927901248705622e-8,5.358086673208842e-8
3.059726736988344e-7,0.00007541010916434473,0.0000491413560886304,0.000027554486020751945,0.00014959062651340548,0.000007594743320055903,0.00015700451499765623,0.0001580169167496983,0.000030722744672287736,0.0003635054510712446,0.00005918840853532383,0.00028383554458395646,0.0004765442579797028,0.000012149397855773222,0.0008170073333168,0.0003115698782483605,0.00042186525002252287,0.0013605640043418232,0.000015363994402676272,0.001706692193425776,0.0013728820621800614,0.00044357106704869204,0.0038583980371995536,0.0005588586939977026,0.003445889530224072,0.006094454033831415,0.00013076512205814,0.01291068422146606,0.006780590316819181,0.008318472375508371,0.04539135401041648,0.002934332063303621,0.15692827684908545,0.7433482526778169,0.9994982135427662,0.49463351978235,0.04044923019188152,0.023755365034784655,0.035915615524361226,0.00041351783360628417,0.012800946385213398,0.007599759321369652,0.0006756188026874547,0.006992229437562375,0.0013302726721837884,0.0016990174396081718,0.003342983629868066,0.00004687789137706292,0.0018134184242301035,0.0012782015640344453,0.00009913192836637685,0.0013648355735327894,0.00033011441145718186,0.00032196803393275445,0.0007995801180977964,0.000029057374637801843,0.0003982443666653208,0.00036619723791507747,0.000008157927783500175,0.0003344178456919949,0.00012225125403112896,0.00005326655759590581,0.00021754884722033395,0.00002285668035582398,0.00007908120397682226,0.00011362673156323829,2.2267896528044317e-7,0.00007420434771427028,0.000047008485107874526,0.000004309280949623294,0.000053385471299032114,0.00001423877677679144,0.000010572378015145624,0.00003143743927939138,0.0000023833704182692014,0.000012158697675263291,0.000015467095555030027,1.1838407952464207e-8,0.000010035228467884949,0.000006305213253104092,4.71805478769404e-7,0.000006713957770012165,0.000002033984007392482,0.0000010521590508736312,0.000003827959247788569,4.5193837788790266e-7,0.0000011554600359281977,0.0000019015127967442126,3.840688423485323e-8,9.331990359603588e-7,8.280949594703217e-7,5.187150383095204e-9,6.253096137673799e-7,3.136232284544286e-7,3.924893494463735e-8,3.668067716803545e-7,1.0033118723533436e-7,5.5951395496914115e-8,1.9393822763263332e-7,2.5129148440972652e-8
